,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1293,Rajaji Nagar,"9,500 - 14,000",11500,"10,000 - 1.1 L",56717.95,22500,22500,12.9982,77.553
1294,Sarjapur Road,10000,10000,9000,9000,90000,90000,0.0,0.0
1295,Banaswadi,"5,000 - 18,000",13509.09,"15,000 - 28,000",19500,"24,000 - 35,000",30500,13.0104,77.6482
1296,Sarjapur,"10,000 - 13,500",11375,"10,000 - 30,000",15250,"20,000 - 30,000",24000,12.8549,77.7881
1297,Thanisandra,"7,500 - 8,500",8000,"14,000 - 25,500",19125,22000,22000,13.0559,77.6325
1298,Koramangala,"7,500 - 28,000",14181.82,"15,000 - 50,000",25909.09,"25,000 - 4 L",108000,12.9352,77.6244
1299,Bommasandra,"8,500 - 9,000",8750,"6,500 - 12,000",8200,"17,000 - 30,000",21909.09,12.8167,77.6974
1300,HSR Layout,"7,000 - 30,000",17583.33,"18,500 - 28,000",24450,50000,50000,12.9121,77.6446
1301,Mahadevapura,"5,000 - 17,000",10500,"9,500 - 22,000",16333.33,28000,28000,12.988,77.6895
1302,Avalahalli Off Sarjapur Road,-,-,"15,000 - 20,000",16555.56,-,-,0.0,0.0
1303,Horamavu Agara,11800,11800,17800,17800,20800,20800,13.0411,77.6622
1304,Begur,"5,500 - 12,000",8285.71,"12,000 - 14,000",13250,16000,16000,12.8788,77.6377
1305,Chandapura Anekal Road,-,-,9000,9000,-,-,0.0,0.0
1306,Hebbal,"6,000 - 16,000",1183.33,"10,000 - 40,000",16875,40000,40000,13.0354,77.5988
1307,Yelahanka New Town,"5,000 - 16,000",9700,"10,500 - 20,000",14125,"16,000 - 25,000",20500,13.1042,77.5713
1308,Narayanapura on Hennur Main Road,7500,7500,"18,000 - 26,000",23222.22,"23,000 - 33,000",29000,0.0,0.0
1309,Dasarahalli on Tumkur Road,-,-,"19,000 - 22,500",20285.71,45000,45000,0.0,0.0
1310,Kalyan Nagar,"6,000 - 18,000",14175,"15,000 - 31,000",20250,"25,000 - 35,000",29500,13.024,77.6433
1311,Thirumalashettyhally,"7,500 - 18,000",12750,"15,000 - 25,500",20250,25000,25000,12.9862,77.781
1312,Bommanahalli,"6,800 - 12,000",9471.43,"12,000 - 18,000",15000,"15,000 - 45,000",30000,12.903,77.6242
1313,Banashankari,"4,000 - 22,000",1033.33,"10,000 - 25,000",1527.78,"30,000 - 50,000",37666.67,12.9255,77.5468
1314,Sarjapur Road Post Railway Crossing,7500,7500,"19,000 - 33,000",26200,45000,45000,0.0,0.0
1315,Kadugodi,12500,12500,"12,000 - 17,000",14500,"15,000 - 25,000",20000,12.9908,77.7608
1316,Uttarahalli Main Road,"7,500 - 9,000",8250,"10,000 - 19,000",13833.33,50000,50000,0.0,0.0
1317,Bengaluru Kanakapura Road,-,-,"10,000 - 20,000",15000,"22,000 - 60,000",41000,0.0,0.0
1318,JP Nagar,"3,600 - 27,000",10183.33,"8,500 - 28,000",19325,"18,000 - 30,000",24000,12.9063,77.5857
1319,Sarjapur Road Wipro To Railway Crossing,-,-,"23,000 - 35,000",30000,"65,000 - 75,000",70000,0.0,0.0
1320,Ramamurthy Nagar,"6,000 - 20,000",11147.06,"7,500 - 17,000",13619.05,"15,000 - 20,000",16666.67,13.0163,77.6785
