,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1479,HRBR 1 Block,14800,14800,"16,000 - 25,000",22340,25000,25000,0.0,0.0
1480,Kaggalipura,"12,000 - 15,000",13750,"11,500 - 20,000",15500,18000,18000,12.7995,77.5101
1481,Narayanapura,12000,12000,14000,14000,1.1 L,110000,13.0629,77.645
1482,Kambipura,"12,000 - 15,000",13500,"10,000 - 12,000",11333.33,"14,000 - 20,000",17250,12.8789,77.4616
1483,Srinivaspura,-,-,"14,000 - 25,000",19500,-,-,12.9001,77.5113
1484,JP Nagar Phase 6,-,-,14999,14999,"30,000 - 40,000",3562.5,12.9,77.5777
1485,Benson Town,"5,000 - 10,000",7500,"10,000 - 16,000",13500,60000,60000,13.0047,77.5999
1486,Bommasandra Industrial Area,"7,000 - 7,500",7250,8500,8500,-,-,12.8159,77.6794
1487,Bommenahalli,"8,000 - 17,000",12500,13800,13800,20000,20000,12.903,77.6242
1488,Glass Factory Layout,7000,7000,10500,10500,16000,16000,12.8296,77.7009
1489,Kodathi,15000,15000,"7,999 - 8,500",8333,-,-,12.8882,77.7163
1490,Raja Rajeshwari Nagar 5th Stage,-,-,14000,14000,-,-,12.9085,77.5204
1491,Sir M V Nagar,"10,500 - 17,500",1471.43,"12,000 - 15,000",13333.33,22000,22000,13.0158,77.6756
1492,Vijay Nagar,15500,15500,20000,20000,34000,34000,12.9756,77.5354
1493,Sai Baba Ashram,-,-,"18,250 - 20,000",19416.67,"35,000 - 45,000",40000,0.0,0.0
1494,Kaval Byrasandra,"8,000 - 21,000",13333.33,"12,000 - 14,000",13000,"15,000 - 16,000",15500,13.0237,77.608
1495,Kathriguppe,9500,9500,"12,500 - 21,000",17277.78,24000,24000,12.9294,77.5569
1496,New Thippasandra,"4,500 - 38,000",17800,"12,000 - 23,000",17500,30000,30000,12.9718,77.6552
1497,sahakara nagar,-,-,-,-,62000,62000,13.0623,77.5871
1498,Avalahalli,-,-,12000,12000,-,-,12.9457,77.544
1499,Choodasandra,"7,500 - 8,000",7700,"16,000 - 25,000",18800,90000,90000,12.8837,77.6794
1500,Kammasandra,"17,500 - 21,000",19250,7500,7500,"18,000 - 26,000",23333.33,12.834,77.6883
1501,Kullappa Street,"11,800 - 15,000",13933.33,"17,800 - 25,000",22450,"20,800 - 33,000",27266.67,0.0,0.0
1502,OMBR Layout Chikka Banaswadi,15800,15800,"15,000 - 24,000",18500,33000,33000,0.0,0.0
1503,Domlur,"8,000 - 15,000",11500,30000,30000,"40,000 - 78,000",57750,12.961,77.6387
1504,byatarayanapura,"9,000 - 24,000",15800,"19,000 - 23,000",20500,35000,35000,13.0598,77.5933
1505,Kada Agrahara,"8,000 - 15,000",12600,"12,500 - 13,500",13000,27000,27000,12.8538,77.7652
1506,Mallathahalli,5000,5000,"6,500 - 14,500",11833.33,-,-,12.962,77.498
1507,Padmanabhanagar,"5,500 - 13,000",9000,"9,000 - 20,000",14666.67,24000,24000,12.9156,77.5568
1508,Sector 2 HSR Layout,"16,000 - 18,500",1783.33,25000,25000,35000,35000,12.9089,77.6465
1509,Srinagar,"4,200 - 10,000",7425,"9,000 - 18,000",13200,-,-,12.9468,77.5519
1510,JP Nagar Phase 5,14000,14000,"17,000 - 23,000",20000,32000,32000,12.9035,77.592
1511,Anantapura,-,-,-,-,"17,000 - 32,000",24500,13.115,77.5684
1512,Kodichikkanahalli,4500,4500,20000,20000,36000,36000,12.8953,77.615
1513,Margondanahalli,"7,500 - 8,000",7750,"6,000 - 17,000",10500,18000,18000,13.0373,77.6928
1514,Chikbanavara,"4,500 - 10,000",7250,11000,11000,-,-,13.0806,77.5027
1515,Cox Town,8000,8000,15000,15000,"35,000 - 45,000",40333.33,12.9966,77.6303
1516,Kadubeesanahalli,26500,26500,"25,000 - 73,000",38000,"12,700 - 32,000",25540,12.9394,77.6952
1517,Samethanahalli,6000,6000,9500,9500,-,-,12.9794,77.7915
1518,Dollars Colony,-,-,-,-,53000,53000,13.0415,77.5684
1519,Nagavarapalya,13000,13000,13500,13500,-,-,12.989,77.6665
1520,Nagondanahalli,"8,000 - 8,500",8250,"16,000 - 17,000",16500,75000,75000,12.9712,77.7679
1521,Tavarakere,"11,000 - 13,000",12333.33,"18,500 - 27,000",21428.57,79000,79000,12.9241,77.6092
1522,AGS Layout Arehalli,-,-,-,-,25000,25000,0.0,0.0
1523,Bangalore City Municipal Corporation Layout,"7,000 - 12,000",8666.67,"11,000 - 16,000",13000,-,-,12.8751,77.5507
1524,Jnana Ganga Nagar,-,-,"12,000 - 16,000",14000,-,-,12.9513,77.4861
1525,Shikaripalya,7000,7000,15000,15000,"20,000 - 27,000",21750,12.8325,77.6552
1526,Shivaji Nagar,16000,16000,"15,000 - 16,000",15500,30000,30000,12.9857,77.6057
1527,Devinagar,"6,000 - 9,000",7500,14000,14000,"20,000 - 28,000",240.33,13.0523,77.572
1528,Jayanagar 4th T Block East,"12,000 - 20,000",16000,"18,000 - 24,000",21666.67,45000,45000,12.9254,77.5918
1529,Ashok Nagar,"9,000 - 20,000",14500,-,-,"70,000 - 1.2 L",98750,12.9709,77.6048
1530,RMV,-,-,20000,20000,23000,23000,13.041,77.5788
1531,Byagadadhenahalli,"6,500 - 12,000",10400,"8,000 - 10,000",8600,12000,12000,12.7591,77.7009
1532,Chinnapanna Halli,"13,500 - 16,000",14750,-,-,-,-,12.967,77.7048
1533,Hegde Nagar,-,-,16000,16000,"40,000 - 55,000",48333.33,13.0676,77.6336
1534,Vibhutipura,11000,11000,14500,14500,24000,24000,12.9624,77.6695
1535,Akshaya Nagar,5000,5000,20000,20000,28000,28000,12.8689,77.6162
1536,Begur Road,7000,7000,"14,000 - 17,000",15500,-,-,0.0,0.0
1537,Giri Nagar,"8,500 - 9,500",8950,17000,17000,"25,000 - 30,000",28333.33,12.9421,77.5464
1538,Hosur Main Road,12000,12000,-,-,18000,18000,0.0,0.0
1539,Immadihalli Whitefield,"8,500 - 14,000",11250,20000,20000,-,-,12.965,77.7595
1540,Lingarajapuram,"4,350 - 17,000",12116.67,12000,12000,15000,15000,13.013,77.6262
1541,Nandini Layout,"5,000 - 10,000",7625,"10,500 - 22,000",17400,28000,28000,13.0137,77.5339
1542,North Bangalore,"13,500 - 21,000",17250,22000,22000,-,-,12.9375,77.4472
1543,Sadduguntepalya,"8,500 - 15,500",10750,"16,000 - 18,000",16666.67,-,-,12.9309,77.6097
1544,Seshadripuram,-,-,-,-,"23,000 - 75,000",60375,12.9889,77.574
1545,Devarchikkanahalli,8000,8000,11500,11500,-,-,12.8834,77.6189
1546,Domlur Layout,"10,000 - 20,000",15000,30000,30000,42000,42000,12.961,77.6387
1547,HRBR Layout 2nd Block HRBR Layout,"13,000 - 16,000",14600,"24,400 - 25,000",24700,30000,30000,13.0198,77.6413
1548,Kithaganur Colony,"6,500 - 10,000",8250,"10,000 - 20,000",13500,-,-,13.0319,77.7062
1549,Magadi Road,"15,000 - 19,000",17000,21000,21000,20000,20000,0.0,0.0
1550,Malleshwaram West,12000,12000,"45,000 - 50,000",47000,"35,000 - 45,000",40000,13.0055,77.5692
1551,MG Road,-,-,"40,000 - 50,000",44857.14,"60,000 - 1.5 L",92200,0.0,0.0
1552,Shanti Nagar,"6,000 - 1.8 L",93000,"15,000 - 32,000",23500,"30,000 - 70,000",47000,12.9578,77.5993
1553,Srinivasa Nagar,"7,500 - 10,000",8950,13500,13500,-,-,12.9356,77.5548
1554,Padmanabha Nagar,5000,5000,20000,20000,27000,27000,12.9156,77.5568
1555,B Narayanapura,7000,7000,24900,24900,-,-,12.9925,77.6808
1556,Bettahalsoor,22000,22000,22000,22000,-,-,13.1623,77.6099
1557,Ganganagar,10000,10000,5000,5000,32000,32000,13.0206,77.5887
1558,Kithiganur,"11,000 - 12,000",11500,12000,12000,20000,20000,13.0385,77.706
1559,R.K. Hegde Nagar,"6,500 - 8,000",7250,"13,000 - 13,500",13250,28000,28000,13.0676,77.6336
1560,Harohalli,4500,4500,-,-,-,-,12.8555,77.7249
1561,AECS Layout,"9,500 - 10,000",9666.67,21000,21000,18000,18000,12.9629,77.7123
1562,Amruthahalli,7000,7000,20000,20000,30000,30000,13.0659,77.6042
1563,Ananth Nagar,-,-,-,-,17000,17000,12.8389,77.6898
1564,Balagere,7000,7000,30000,30000,-,-,12.9396,77.729
1565,Dasarahalli,8500,8500,14000,14000,20000,20000,13.0961,77.8353
1566,Garudachar Palya,14800,14800,"19,900 - 23,200",21475,"22,400 - 27,000",25133.33,12.9878,77.7009
1567,Halanayakanahalli,24000,24000,9000,9000,-,-,12.9025,77.6853
1568,Kalena Agrahara,5500,5500,15000,15000,24000,24000,12.8711,77.5935
1569,Sunkadakatte,"6,000 - 10,000",8166.67,8000,8000,-,-,12.9918,77.5046
1570,Akshaya Vana,15000,15000,"16,000 - 17,000",16500,30000,30000,0.0,0.0
1571,Attiguppe,23000,23000,21000,21000,35000,35000,12.9598,77.529
1572,Babusabpalya,-,-,26500,26500,"27,000 - 37,500",32250,13.0255,77.6472
1573,Baglur,-,-,15000,15000,-,-,13.1513,77.6688
1574,Budigere Road,-,-,14000,14000,-,-,0.0,0.0
1575,Ganga Nagar,"5,000 - 6,000",5500,14000,14000,35000,35000,13.0206,77.5887
1576,judicial layout,6500,6500,"7,500 - 21,000",14500,-,-,13.0778,77.587
1577,Laggere,8000,8000,-,-,25000,25000,13.0098,77.5254
1578,Madanayakahalli,4000,4000,-,-,-,-,13.061,77.4614
1579,Manyata Tech Park Nagawara,-,-,22000,22000,30000,30000,13.0428,77.6191
1580,Maruthi Sevanagar,6500,6500,"9,000 - 22,000",16166.67,-,-,13.0019,77.6322
1581,Nagasandra,5000,5000,8000,8000,-,-,13.0395,77.5
1582,Virupakshapura,65000,65000,"9,500 - 11,000",10250,-,-,13.0625,77.5706
1583,Magadi,6500,6500,7000,7000,-,-,0.0,0.0
1584,banashankari 6th stage,-,-,10500,10500,20000,20000,12.8826,77.5089
1585,Chikka Banaswadi,11000,11000,17000,17000,20000,20000,13.006,77.6469
1586,Gnana bharathi,"8,500 - 13,000",10750,85000,85000,26000,26000,12.9421,77.5059
1587,Gudighattanahalli,-,-,-,-,20000,20000,12.8616,77.811
1588,Hanumanthanagar Bangalore,10000,10000,"13,000 - 20,000",16000,30000,30000,12.9425,77.5626
1589,Hutchins Road,-,-,35000,35000,"50,000 - 65,000",57500,0.0,0.0
1590,KIADB Export Promotion Industrial Area,7000,7000,-,-,-,-,12.9819,77.7252
1591,Pragathi Nagar,6000,6000,13000,13000,21000,21000,12.8656,77.6565
1592,Saraswathi Nagar,17000,17000,23000,23000,45000,45000,12.9718,77.5297
1593,Soundarya Layout,5000,5000,"8,000 - 10,000",9000,12000,12000,13.0654,77.4948
1594,Yelenahalli,8500,8500,12000,12000,-,-,12.8594,77.6149
1595,Panduranga Nagar,"18,000 - 20,000",19000,"15,000 - 30,000",22500,-,-,12.8961,77.5963
1596,Hesaraghatta,-,-,"7,000 - 20,000",13500,-,-,13.15,77.49
1597,Banashankari Stage III,8000,8000,"12,000 - 16,000",14000,"22,000 - 36,000",29000,12.9345,77.5435
1598,bannerghatta road,-,-,15500,15500,-,-,0.0,0.0
1599,Bidare Agraha,10000,10000,"11,500 - 12,000",11750,15000,15000,13.0329,77.7448
1600,DLF Newtown,10000,10000,"11,000 - 25,000",19500,"25,000 - 26,000",25666.67,12.8746,77.6214
1601,Doddaballapura,"10,000 - 27,000",18500,"8,000 - 15,000",11500,-,-,12.7943,77.6208
1602,Doddakannelli,-,-,23000,23000,-,-,12.9063,77.6985
1603,HBR layout 5th Block,9500,9500,15500,15500,-,-,13.0367,77.6294
1604,Kadugondanahalli,"5,000 - 7,000",6000,18000,18000,-,-,13.0187,77.6186
1605,Kaikondrahalli,16500,16500,"16,000 - 18,000",17000,"27,000 - 34,000",30333.33,12.9138,77.685
1606,Karthik Nagar,8000,8000,"16,800 - 29,900",21380,-,-,12.9703,77.7006
1607,Kasturi Nagar Road,"7,200 - 16,000",11720,"13,000 - 20,500",16166.67,32000,32000,0.0,0.0
1608,Manayata Tech Park,-,-,25000,25000,-,-,13.0448,77.6221
1609,Poornapragna Housing Society Layout,-,-,-,-,14500,14500,12.9064,77.5347
1610,Varanasi,"11,000 - 12,000",11500,"13,000 - 16,000",14500,-,-,13.0257,77.6894
1611,5th Phase,11000,11000,13000,13000,-,-,12.9001,77.5884
1612,Annapurneshwari Nagar,"5,000 - 8,000",6500,"16,000 - 25,000",21000,-,-,12.9703,77.4943
1613,BSK 3rd Stage,8000,8000,"14,000 - 15,000",14625,-,-,12.9345,77.5435
1614,Bull Temple Road,"8,000 - 11,000",9500,-,-,-,-,0.0,0.0
1615,Indiranagar,20000,20000,"20,000 - 45,000",32500,"70,000 - 80,000",75000,12.9784,77.6408
1616,Kamala Nagar,5000,5000,-,-,-,-,12.9993,77.5285
1617,Kannahalli,14000,14000,-,-,40000,40000,12.9633,77.4559
1618,Kaveri Nagar,"8,000 - 9,500",8750,-,-,-,-,13.016,77.5232
1619,Moodalapalya,"6,500 - 18,000",12250,"11,000 - 20,000",15500,-,-,12.9722,77.5234
1620,Spice Garden Layout,8500,8500,18000,18000,-,-,12.958,77.7089
1621,Thyagarajanagar,9000,9000,21000,21000,30000,30000,12.9312,77.5671
1622,Akshayanagara East,"10,000 - 16,000",13000,14500,14500,18000,18000,12.8688,77.6185
1623,Binnipete,18000,18000,"30,000 - 55,000",40000,-,-,12.9758,77.5602
1624,Chikkakannalli,"19,000 - 20,000",19500,"19,000 - 24,000",20666.67,"22,000 - 23,000",22500,12.8942,77.7053
1625,DrVishnuvardhan Road,12000,12000,-,-,-,-,0.0,0.0
1626,ecc road whitefield bangalore east,-,-,"30,000 - 35,000",32500,33000,33000,0.0,0.0
1627,HRBR Layout 3rd Block Bangalore,-,-,"23,000 - 27,000",25000,30000,30000,13.0249,77.6343
1628,Kodihalli,25000,25000,"17,000 - 50,000",39000,50000,50000,12.9654,77.6493
1629,Muneshwara Nagar,24000,24000,"10,500 - 14,000",12250,-,-,12.8963,77.6422
1630,NGEF Layout Sadanandanagar,11000,11000,"9,200 - 21,500",16900,20000,20000,0.0,0.0
1631,Off Bannerghatta Road,-,-,-,-,12000,12000,0.0,0.0
1632,Old Airport Road,16500,16500,-,-,-,-,0.0,0.0
1633,Richards Park,-,-,"28,000 - 40,000",32666.67,"47,000 - 1 L",67400,13.0041,77.617
1634,Sampigehalli,12000,12000,"20,000 - 30,000",25000,30000,30000,13.0804,77.6208
1635,Sector 7 HSR Layout,16000,16000,23000,23000,-,-,12.9084,77.635
1636,Yemlur,13000,13000,"17,000 - 19,000",17666.67,-,-,12.9446,77.6837
1637,Yerrappanahalli,5000,5000,-,-,-,-,13.0865,77.6862
1638,Abbigere main road,-,-,12000,12000,-,-,0.0,0.0
1639,Anagalapura,18000,18000,15000,15000,-,-,13.0697,77.6727
1640,Ayyappa Nagar Main,12000,12000,15000,15000,-,-,0.0,0.0
1641,BEML Layout,-,-,"19,900 - 20,000",19912.5,-,-,12.9596,77.7173
1642,Bohra Layout,6500,6500,14000,14000,25000,25000,12.8564,77.5907
1643,Chelekare,9000,9000,22222,22222,"23,000 - 49,000",39250,13.0254,77.6443
1644,Dodda Banaswadi,22000,22000,16500,16500,-,-,13.0159,77.6529
1645,Ferns City,-,-,17500,17500,-,-,12.9743,77.6999
1646,Hegganahalli,"8,000 - 19,000",14000,10000,10000,-,-,13.0064,77.5171
1647,Hennur Bagalur Road,-,-,19000,19000,-,-,0.0,0.0
1648,Himagiri Meadows,16000,16000,"14,000 - 20,000",16600,19200,19200,12.8616,77.5931
1649,ISRO Layout,-,-,1.8 L,180000,-,-,12.8985,77.5591
1650,ITPL Main Road Prithvi Layou,5000,5000,-,-,-,-,0.0,0.0
1651,Jayamahal,-,-,"25,000 - 35,000",30000,"55,000 - 85,000",68333.33,12.9999,77.5951
1652,Kadabagere,4000,4000,-,-,15000,15000,12.9969,77.4331
1653,Lal Bahadur Shastri Nagar,7000,7000,-,-,14000,14000,12.857,77.5622
1654,Marathahalli Sarjapur Outer Ring Road,12500,12500,-,-,-,-,0.0,0.0
1655,Phase 2,25000,25000,"16,000 - 20,000",18000,13000,13000,12.8441,77.6794
1656,Richmond Road,-,-,"37,000 - 45,000",40666.67,"55,000 - 95,000",71625,12.9634,77.6035
1657,Siddapura,8700,8700,16500,16500,-,-,12.9567,77.734
1658,Yelahanka Satellite Town,11200,11200,"8,500 - 22,000",15250,-,-,13.1042,77.5713
1659,JP Nagar Phase 2,-,-,"18,000 - 23,000",20500,40000,40000,0.0,0.0
1660,7th Block Jayanagar,20000,20000,32000,32000,"28,000 - 35,000",31500,12.927,77.5766
1661,AECS Layout A Block Singasandra,"9,500 - 10,000",9750,-,-,18000,18000,12.881,77.6522
1662,Anjanapura Township,17000,17000,4500,4500,-,-,0.0,0.0
1663,Bikasipura,-,-,15000,15000,-,-,0.0,0.0
1664,Channasandra Main,-,-,-,-,45000,45000,0.0,0.0
1665,Cox Town,17000,17000,23000,23000,"35,000 - 50,000",39800,12.9966,77.6303
1666,Garudacharpalya,-,-,"19,900 - 23,500",22337.5,-,-,12.9878,77.7009
1667,GREEN GLENN LAYOUT,-,-,21000,21000,-,-,12.927,77.6694
1668,HSR LAYOUT 2ND SECTOR,"11,000 - 18,000",14500,22000,22000,34000,34000,12.908,77.6516
1669,Koramangala 4th Block,-,-,20000,20000,"54,000 - 85,000",69500,12.9315,77.63
1670,Rahmath Nagar,21000,21000,12500,12500,8000,8000,13.0187,77.5942
1671,Raj Mahal Vilas 2nd Stage,18000,18000,13500,13500,-,-,13.0347,77.5727
1672,Richards Town,-,-,-,-,"37,000 - 80,000",56400,13.0063,77.6149
1673,T Dasarahalli,5000,5000,8000,8000,-,-,13.0508,77.5154
1674,Thattanahalli,9000,9000,"7,000 - 10,000",7928.57,-,-,0.0,0.0
1675,Tirumanahalli,-,-,"22,000 - 35,000",29300,"32,000 - 80,000",56000,13.0904,77.6278
1676,Varadharaja Nagar,7500,7500,9500,9500,-,-,13.0796,77.5383
1677,Vidyapeeta Circle,"3,500 - 12,000",7750,"10,000 - 18,500",1483.33,25000,25000,12.9334,77.5609
1678,Wilson Garden,8000,8000,"25,000 - 26,000",25333.33,-,-,12.9482,77.5972
1679,5th Phase JP Nagar,13500,13500,"13,000 - 18,000",15500,-,-,12.9001,77.5884
1680,Agrahara Layout,6500,6500,"15,000 - 19,000",17500,15000,15000,13.0968,77.6258
1681,AGS Layout,-,-,10000,10000,-,-,12.9162,77.5408
1682,Bagalakunte,11500,11500,9000,9000,-,-,13.0527,77.4955
1683,Banashankari 5th stage,-,-,20000,20000,-,-,12.8982,77.5541
1684,Bangalore Mysore Highway,-,-,-,-,14000,14000,0.0,0.0
1685,Channasandra Layout,-,-,16200,16200,-,-,12.8991,77.522
1686,Cunningham Road,30000,30000,"42,000 - 50,000",45000,70000,70000,0.0,0.0
1687,Dasanapura,4500,4500,-,-,-,-,13.065,77.4316
1688,GB Palya,"7,500 - 11,000",9250,11000,11000,-,-,12.8944,77.6368
1689,Maruthi Nagar,9000,9000,11000,11000,-,-,12.925,77.6128
1690,Muneshwara Block,"5,500 - 8,500",7000,"12,500 - 16,000",14250,21000,21000,12.9445,77.5483
1691,Singasandra AECS B Block,9000,9000,"15,000 - 20,000",17000,-,-,12.8822,77.6397
1692,Thyvakanahally,-,-,15000,15000,30000,30000,12.8318,77.7767
1693,Victoria Layout,28000,28000,28000,28000,-,-,12.9668,77.6149
1694,1st Block Koramangala,14000,14000,-,-,-,-,12.9265,77.6362
1695,2nd Block HRBR Layout Bangalore,"12,900 - 15,000",13950,16500,16500,23000,23000,13.0198,77.6413
1696,Anchepalya,-,-,8000,8000,-,-,13.0577,77.4804
1697,Bangalore,-,-,-,-,25000,25000,12.9716,77.5946
1698,Basaveshwaranagar,8000,8000,22000,22000,-,-,12.988,77.5375
1699,Bukkasagara,-,-,-,-,35000,35000,12.7732,77.6107
1700,Challaghatta,-,-,"33,000 - 47,000",37666.67,36000,36000,12.9506,77.6445
1701,Chandra Layout Extension,"5,000 - 35,000",20000,"14,500 - 15,500",15166.67,30000,30000,12.9545,77.5228
1702,gubbalala,6000,6000,-,-,-,-,12.8871,77.5433
1703,HAL,16000,16000,12000,12000,-,-,12.9552,77.6646
1704,Hosa Road Electronic City,6000,6000,8500,8500,-,-,12.8706,77.6558
1705,K Narayanpura,-,-,"18,000 - 19,000",18500,18000,18000,13.0629,77.645
1706,Malleshpalya Maruthi Nagar,22000,22000,17000,17000,35000,35000,12.9757,77.6769
1707,Neelasandra,"8,000 - 13,000",10500,"7,500 - 16,000",11750,-,-,12.955,77.6142
1708,Nice Ring Road,"12,500 - 17,000",14000,-,-,-,-,0.0,0.0
1709,Sector 3 HSR Layout,"14,000 - 22,000",18666.67,"18,000 - 30,000",24000,-,-,12.908,77.641
1710,Srirampuram,13000,13000,9000,9000,-,-,12.9948,77.5664
1711,Tata Nagar,-,-,15000,15000,-,-,13.0551,77.572
1712,1st Block Jayanagar,-,-,20000,20000,"28,000 - 35,000",31500,12.9392,77.5895
1713,3rd Block HBR Layout,-,-,"16,000 - 20,000",18000,"8,000 - 18,500",13250,13.0284,77.6269
1714,8th Block Jayanagar,-,-,-,-,40000,40000,12.9198,77.5777
1715,8th Phase JP Nagar,-,-,-,-,27000,27000,12.8741,77.5792
1716,Allalasandra,18000,18000,"9,000 - 16,000",12750,-,-,13.0842,77.5892
1717,Andrahalli,10000,10000,16000,16000,-,-,13.0097,77.4784
1718,Ashraya Layout,"12,900 - 13,900",13566.67,"16,500 - 17,000",16760,-,-,12.9845,77.7059
1719,B Channasandra Kasturi Nagar,"8,700 - 10,000",9280,13000,13000,28500,28500,13.0085,77.6608
1720,Balaji Gardens Layout,13000,13000,"11,000 - 25,000",17800,-,-,12.8557,77.5949
1721,Chikkadunnasandra,-,-,"12,000 - 15,000",13500,15000,15000,12.8631,77.7628
1722,Choodasandra Road,8500,8500,11000,11000,-,-,0.0,0.0
1723,Classic Paradise Layout,"10,000 - 15,000",11833.33,11000,11000,-,-,0.0,0.0
1724,Doddabommasandra,"6,000 - 10,000",8000,15000,15000,23000,23000,13.0605,77.562
1725,Eastwood Township,20000,20000,-,-,-,-,0.0,0.0
1726,Ferns Paradise,"7,000 - 14,000",10500,14000,14000,-,-,0.0,0.0
1727,Hallehalli,-,-,-,-,24000,24000,13.0347,77.7042
1728,HBR Layout 4th Block,-,-,18000,18000,"30,000 - 33,000",31500,13.0308,77.6334
1729,hsr,"10,000 - 16,000",13000,"17,000 - 19,000",18000,35000,35000,12.9121,77.6446
1730,Jayamahal Extension,"8,000 - 9,000",8500,16000,16000,40000,40000,13.002,77.5956
1731,Lingarajapuram,-,-,-,-,30000,30000,13.013,77.6262
1732,Mico Layout,5500,5500,"18,000 - 18,500",18250,-,-,12.9128,77.6043
1733,Mysore road Bangalore,-,-,17000,17000,-,-,12.9716,77.5946
1734,Nyanappana Halli,9500,9500,12500,12500,-,-,12.8799,77.6157
1735,Rachenahalli,12000,12000,-,-,45000,45000,13.0615,77.6164
1736,Ramanashree California Gardens Layout,-,-,-,-,16000,16000,0.0,0.0
1737,RS Gardens,-,-,"10,000 - 22,000",16166.67,-,-,12.8202,77.6918
1738,Sadananda Nagar,12000,12000,"22,500 - 28,000",26166.67,"18,500 - 23,000",20750,12.9966,77.658
1739,Sector 1 HSR Layout,18000,18000,28000,28000,-,-,12.8981,77.6448
1740,Vakil Garden City,-,-,12000,12000,-,-,0.0,0.0
1741,Varthur Road,-,-,"15,000 - 26,000",20500,-,-,0.0,0.0
1742,Vijaya Bank Layout,-,-,20000,20000,30000,30000,12.8902,77.6092
1743,Visthar,-,-,"25,000 - 26,000",25500,-,-,0.0,0.0
1744,1st block Kalyan Nagar,16000,16000,"24,000 - 29,000",27000,35000,35000,13.0286,77.6393
1745,9th Block Jayanagar,12000,12000,-,-,28000,28000,12.9205,77.592
1746,Armane Nagar,13000,13000,"58,000 - 75,000",66500,55000,55000,13.0145,77.5839
1747,Attur Layout,-,-,14000,14000,-,-,13.107,77.5663
1748,BEML Cooperative Society Layout,9000,9000,8000,8000,23000,23000,0.0,0.0
1749,Bidaraguppe,-,-,11500,11500,"12,000 - 13,000",12500,12.8062,77.7844
1750,Bileshivale,-,-,15000,15000,-,-,13.0584,77.6698
1751,Chikkanagamangala,13000,13000,25000,25000,20000,20000,12.8601,77.6959
1752,CV Raman Nagar Kaggadasapura,-,-,19500,19500,-,-,12.9806,77.6792
1753,Gundappa Layout,7500,7500,11000,11000,-,-,12.8546,77.587
1754,Harlur Main Road,-,-,-,-,50000,50000,0.0,0.0
1755,Hulimangala Road,10800,10800,-,-,-,-,0.0,0.0
1756,Huskur,15000,15000,22000,22000,-,-,12.8581,77.7066
1757,Indiranagar HAL 2nd Stage,20000,20000,"24,000 - 1 L",50333.33,-,-,12.9673,77.6433
1758,Madhura Nagar,7000,7000,"10,000 - 11,000",10500,-,-,12.9398,77.7607
1759,Maithri Layout,18000,18000,-,-,-,-,12.9906,77.7581
1760,Maruthi Layout,"10,000 - 12,750",11375,15000,15000,-,-,12.8909,77.6235
1761,munnekollala,"5,500 - 12,000",8750,-,-,-,-,12.9569,77.7011
1762,Prakruthi Township,9500,9500,"13,000 - 17,500",15250,-,-,0.0,0.0
1763,Reliaable Tranquil Layout,22000,22000,"12,000 - 22,000",17000,-,-,0.0,0.0
1764,Royal County Phase 1,"10,000 - 20,000",15000,"14,000 - 15,000",14500,-,-,12.8605,77.5777
1765,RPC layout,21000,21000,22000,22000,-,-,12.9628,77.5379
1766,Vidyapeeta,-,-,-,-,18500,18500,12.9334,77.5609
1767,Vittasandra,"4,500 - 28,000",19166.67,"8,500 - 11,000",9750,-,-,12.8567,77.6359
1768,Yelachenahalli,-,-,19000,19000,-,-,12.9004,77.5712
1769,Yemalur,13000,13000,"15,000 - 22,000",18500,-,-,12.9446,77.6837
1770,Gauribidanur,-,-,19000,19000,-,-,0.0,0.0
1771,5th Block,-,-,"18,000 - 26,000",22000,"25,000 - 35,000",30000,12.9352,77.62
1772,Amrita Nagar,12000,12000,"12,500 - 18,000",16166.67,21430,21430,12.8928,77.6787
1773,Arekere,-,-,15000,15000,13500,13500,12.8874,77.5969
1774,Basapura Main Road,-,-,13000,13000,"5,000 - 21,000",13000,0.0,0.0
1775,Belathur,9500,9500,14000,14000,20000,20000,13.0072,77.7524
1776,Bharat Nagar,-,-,14000,14000,-,-,12.9783,77.4778
1777,Bhuvaneswari Nagar,20000,20000,-,-,-,-,13.0545,77.6036
1778,BTS Layout,10000,10000,-,-,-,-,12.8878,77.6064
1779,Chikkasanne,-,-,20000,20000,70000,70000,0.0,0.0
1780,Dattatreya Nagar,16000,16000,-,-,26000,26000,12.9265,77.5404
1781,Deepanjali Nagar,6500,6500,"24,900 - 25,000",24950,24900,24900,12.9526,77.5293
1782,Doddanagamangala,5000,5000,10000,10000,-,-,12.8558,77.6741
1783,Dwarakanagar,-,-,20200,20200,-,-,12.9017,77.5248
1784,Gulimangala,7500,7500,"11,000 - 12,000",11500,-,-,12.845,77.6966
1785,hebbagodi,13000,13000,-,-,-,-,12.8257,77.678
1786,Hoysala Nagar,-,-,16000,16000,-,-,13.0173,77.6665
1787,Indira Nagar 2nd Stage,11500,11500,25000,25000,-,-,12.9784,77.6408
1788,Ittamadu,11500,11500,-,-,-,-,12.9227,77.5453
1789,Jalahalli East,5500,5500,-,-,-,-,13.0699,77.5449
1790,Jyotipuram,20000,20000,26000,26000,15000,15000,12.8672,77.5404
1791,Kanak nagar,7000,7000,-,-,-,-,13.0342,77.6064
