,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1285,Tirumanahalli,-,-,"22,000 - 35,000",29300,"32,000 - 80,000",56000,13.0904,77.6278
1286,Varadharaja Nagar,7500,7500,9500,9500,-,-,13.0796,77.5383
1287,Vidyapeeta Circle,"3,500 - 12,000",7750,"10,000 - 18,500",1483.33,25000,25000,12.9334,77.5609
1288,Wilson Garden,8000,8000,"25,000 - 26,000",25333.33,-,-,12.9482,77.5972
1289,5th Phase JP Nagar,13500,13500,"13,000 - 18,000",15500,-,-,12.9001,77.5884
1290,Agrahara Layout,6500,6500,"15,000 - 19,000",17500,15000,15000,13.0968,77.6258
1291,AGS Layout,-,-,10000,10000,-,-,12.9162,77.5408
1292,Bagalakunte,11500,11500,9000,9000,-,-,13.0527,77.4955
1293,Banashankari 5th stage,-,-,20000,20000,-,-,12.8982,77.5541
1294,Channasandra Layout,-,-,16200,16200,-,-,12.8991,77.522
1295,Dasanapura,4500,4500,-,-,-,-,13.065,77.4316
1296,GB Palya,"7,500 - 11,000",9250,11000,11000,-,-,12.8944,77.6368
1297,Maruthi Nagar,9000,9000,11000,11000,-,-,12.925,77.6128
1298,Muneshwara Block,"5,500 - 8,500",7000,"12,500 - 16,000",14250,21000,21000,12.9445,77.5483
1299,Singasandra AECS B Block,9000,9000,"15,000 - 20,000",17000,-,-,12.8822,77.6397
1300,Thyvakanahally,-,-,15000,15000,30000,30000,12.8318,77.7767
1301,Victoria Layout,28000,28000,28000,28000,-,-,12.9668,77.6149
1302,1st Block Koramangala,14000,14000,-,-,-,-,12.9265,77.6362
1303,2nd Block HRBR Layout Bangalore,"12,900 - 15,000",13950,16500,16500,23000,23000,13.0198,77.6413
1304,Anchepalya,-,-,8000,8000,-,-,13.0577,77.4804
1305,Bangalore,-,-,-,-,25000,25000,12.9716,77.5946
1306,Basaveshwaranagar,8000,8000,22000,22000,-,-,12.988,77.5375
1307,Bukkasagara,-,-,-,-,35000,35000,12.7732,77.6107
1308,Challaghatta,-,-,"33,000 - 47,000",37666.67,36000,36000,12.9506,77.6445
1309,Chandra Layout Extension,"5,000 - 35,000",20000,"14,500 - 15,500",15166.67,30000,30000,12.9545,77.5228
1310,gubbalala,6000,6000,-,-,-,-,12.8871,77.5433
1311,HAL,16000,16000,12000,12000,-,-,12.9552,77.6646
1312,Hosa Road Electronic City,6000,6000,8500,8500,-,-,12.8706,77.6558
1313,K Narayanpura,-,-,"18,000 - 19,000",18500,18000,18000,13.0629,77.645
1314,Malleshpalya Maruthi Nagar,22000,22000,17000,17000,35000,35000,12.9757,77.6769
1315,Neelasandra,"8,000 - 13,000",10500,"7,500 - 16,000",11750,-,-,12.955,77.6142
1316,Sector 3 HSR Layout,"14,000 - 22,000",18666.67,"18,000 - 30,000",24000,-,-,12.908,77.641
1317,Srirampuram,13000,13000,9000,9000,-,-,12.9948,77.5664
1318,Tata Nagar,-,-,15000,15000,-,-,13.0551,77.572
1319,1st Block Jayanagar,-,-,20000,20000,"28,000 - 35,000",31500,12.9392,77.5895
1320,3rd Block HBR Layout,-,-,"16,000 - 20,000",18000,"8,000 - 18,500",13250,13.0284,77.6269
1321,8th Block Jayanagar,-,-,-,-,40000,40000,12.9198,77.5777
1322,8th Phase JP Nagar,-,-,-,-,27000,27000,12.8741,77.5792
1323,Allalasandra,18000,18000,"9,000 - 16,000",12750,-,-,13.0842,77.5892
1324,Andrahalli,10000,10000,16000,16000,-,-,13.0097,77.4784
