,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1519,Domlur II Stage,20700,20700,"26,000 - 42,000",34000,-,-,12.9629,77.6386
1520,Domlur Village,20000,20000,32500,32500,-,-,12.961,77.6387
1521,Garvebhavi Palya,10000,10000,-,-,-,-,12.8944,77.6368
1522,Herohalli,-,-,18000,18000,-,-,12.9897,77.4896
1523,Hoodi Village,12800,12800,-,-,-,-,12.99,77.7133
1524,Hullahalli,-,-,7000,7000,-,-,12.8242,77.6164
1525,Jambusawari Dinne,8400,8400,10000,10000,-,-,12.8631,77.5784
1526,Jayachamarajendra Nagar,-,-,"15,000 - 17,000",16000,-,-,12.9868,77.5469
1527,Kadubeesanahalli,-,-,"22,000 - 30,000",26000,-,-,12.9394,77.6952
1528,Kathriguppe Main Road,-,-,18000,18000,-,-,12.9255,77.5468
1529,Kodichikkanahalli Seenappa Layout,-,-,20000,20000,-,-,12.8966,77.6171
1530,Konena Agrahara,-,-,23600,23600,-,-,12.9577,77.6608
1531,Koramangala 6th Block,20000,20000,22000,22000,-,-,12.9382,77.6228
1532,Koti Hosahalli,7000,7000,15000,15000,-,-,13.0526,77.5777
1533,Kr Puram Seegehalli,"8,200 - 8,500",8350,-,-,-,-,13.0121,77.7652
1534,Lakshmi Layout,-,-,-,-,20000,20000,12.8901,77.5913
1535,Langford Town,35000,35000,-,-,-,-,12.957,77.6028
1536,Lower Palace Orchards,-,-,"28,000 - 30,000",29333.33,-,-,13.0043,77.5802
1537,Malagala,-,-,15000,15000,-,-,12.9754,77.5168
1538,Maruthi Sevanagar,15000,15000,-,-,-,-,13.0019,77.6322
1539,Mukambika Nagar,6000,6000,15000,15000,-,-,12.9262,77.5347
1540,Nagadevanahalli,-,-,15000,15000,-,-,12.9422,77.4906
1541,Nayatappa Layout,"12,600 - 15,100",13900,-,-,-,-,12.8848,77.6013
1542,Pai Layout,-,-,-,-,"35,000 - 65,000",50000,12.9943,77.6668
1543,Raja Layout,10000,10000,17000,17000,21000,21000,12.9339,77.489
1544,Ramaswamipalya,19000,19000,-,-,22000,22000,13.0087,77.6341
1545,Royal Residence Layout,-,-,18000,18000,-,-,12.8826,77.6128
1546,S.Bingipura,-,-,9500,9500,-,-,12.8248,77.6278
1547,Sarakki,8500,8500,-,-,-,-,12.8994,77.5799
1548,Sector 5 HSR Layout,10500,10500,-,-,-,-,12.9173,77.6368
1549,Shankarapuram,-,-,18000,18000,-,-,12.9521,77.5707
1550,Shree Ananth Nagar Layout,-,-,"15,120 - 20,000",16873.33,-,-,12.8343,77.6958
1551,Silicon Town,15000,15000,12000,12000,-,-,12.8569,77.6808
1552,Sri Enclave Layout,13000,13000,"15,000 - 20,000",17500,-,-,12.8782,77.6145
1553,Sri Krishna Layout,-,-,20000,20000,28000,28000,12.8253,77.6567
1554,Sri Venkateswara Layout,"8,000 - 15,000",10333.33,-,-,-,-,12.9849,77.6874
1555,Sunkalpalya,-,-,-,-,"14,000 - 22,000",18000,12.9045,77.4946
1556,Thyagraj Nagar,-,-,25000,25000,35000,35000,12.9312,77.5671
1557,Valliyamma Layout,9500,9500,-,-,-,-,12.9109,77.6729
1558,Venkateshappa Layout,-,-,20000,20000,30000,30000,13.013,77.6374
1559,Venkateshpuram,-,-,9000,9000,-,-,13.0143,77.62
1560,Vidyamanya Nagar,-,-,10000,10000,-,-,13.006,77.4917
1561,Vidyanagar,-,-,-,-,5000,5000,12.824,77.6858
1562,Vimanapura,-,-,"9,000 - 12,000",10500,-,-,12.9655,77.6695
1563,Vishveshwarya Layout,-,-,11000,11000,-,-,12.964,77.4973
1564,Basaveswarnagar,-,-,14500,14500,-,-,12.988,77.5375
1565,9th Block Jayanagara,15000,15000,-,-,28000,28000,12.9205,77.592
1566,AECS Layout 1st Stage,10000,10000,-,-,25000,25000,13.033,77.5787
1567,Agara,13000,13000,-,-,-,-,12.9231,77.6465
1568,Anandnagar,-,-,-,-,60000,60000,13.0313,77.5913
1569,ANNASANDRAPALYA HAL,-,-,13000,13000,-,-,12.9648,77.6744
1570,Ashirvad Colony,11000,11000,-,-,-,-,13.0274,77.6588
1571,Austin Town,-,-,33000,33000,-,-,12.9588,77.616
1572,Banashankari Temple Ward,6000,6000,10000,10000,-,-,12.9125,77.5714
1573,Basavanagar,-,-,-,-,"16,000 - 17,500",16750,12.9671,77.6808
1574,Basavanagara,-,-,-,-,35000,35000,12.9671,77.6808
1575,BEL Circle,-,-,28000,28000,-,-,13.044,77.5571
1576,Best County 2,-,-,"10,000 - 14,400",12200,-,-,13.0923,77.5444
1577,Bettadasapura,6500,6500,16000,16000,-,-,12.8416,77.6327
1578,Bharath Nagar,-,-,-,-,"35,000 - 40,000",37500,12.9783,77.4778
1579,Bharathi Layout,14500,14500,-,-,-,-,12.9281,77.6072
1580,Bhuvaneshwari Nagar,-,-,20000,20000,-,-,13.0545,77.6036
1581,Block A Sahakar Nagar,-,-,23000,23000,-,-,13.0628,77.5781
1582,Cambridge Layout,-,-,40000,40000,-,-,12.9726,77.6253
1583,Cambridge Road,-,-,36000,36000,55000,55000,12.9726,77.6253
1584,Cashier Layout,"9,200 - 13,000",11100,-,-,-,-,12.9247,77.6102
1585,Chamundi Nagar,2000,2000,-,-,-,-,13.0317,77.5999
1586,Chickpete,12000,12000,-,-,-,-,12.9709,77.5763
1587,Coconut Grove Layout,14000,14000,-,-,24000,24000,13.0274,77.6558
1588,Cooke Town,14000,14000,-,-,45000,45000,13.0032,77.6228
1589,Dasappa Layout,-,-,16000,16000,-,-,13.0136,77.6712
1590,Defence Colony,-,-,-,-,2.5 L,250000,12.9766,77.6436
1591,Dhanalakshmi Layout,10000,10000,35000,35000,-,-,13.0658,77.5727
1592,Doddajala,-,-,12500,12500,-,-,13.1821,77.6529
1593,Doddakallasandra,6800,6800,-,-,-,-,12.8807,77.5576
1594,Dodsworth Layout,-,-,-,-,"35,000 - 47,400",41200,12.9729,77.7438
1595,Dollar Scheme Colony,"9,800 - 10,700",10250,-,-,-,-,12.9182,77.6185
1596,Dwarka Nagar,-,-,16000,16000,-,-,13.1225,77.6207
1597,Electronic City Doddathoguru,10250,10250,14500,14500,-,-,12.8479,77.6528
1598,Electronic City Neeladri Nagar,-,-,13500,13500,20000,20000,12.8391,77.6472
1599,Embassy Golf Links Business Park,-,-,-,-,75000,75000,12.9513,77.6465
1600,Esther Enclave Layout,11000,11000,-,-,18000,18000,13.0269,77.6683
1601,Ganapathipura,-,-,14200,14200,16000,16000,12.8911,77.5691
1602,Ganapathy Nagar,14000,14000,14000,14000,-,-,13.0211,77.5118
1603,Gandhipuram,9000,9000,-,-,28000,28000,12.9714,77.7559
1604,Gangondanahalli,-,-,9000,9000,-,-,13.0204,77.4673
1605,Gowda Muniswamy Garden,-,-,"19,000 - 24,000",21500,-,-,12.9468,77.6257
1606,Hanumaiah Layout,17000,17000,-,-,-,-,13.1023,77.5602
1607,Hennur Gardens,10000,10000,-,-,33000,33000,13.0359,77.6431
1608,High Grounds,30000,30000,-,-,-,-,12.9872,77.5842
1609,hongasandra bangalore,"9,000 - 10,000",9500,-,-,-,-,12.8946,77.6258
1610,Hosakerehalli Layout,6500,6500,-,-,-,-,12.9343,77.5426
1611,Indra Nagar,-,-,34000,34000,-,-,12.9784,77.6408
1612,Industrial Area,-,-,30000,30000,35000,35000,12.9911,77.7094
1613,J C Nagar,-,-,16000,16000,-,-,13.0082,77.5949
1614,Jakkasandra,10000,10000,-,-,-,-,12.9234,77.6386
1615,Jakkuru Layout,-,-,16500,16500,-,-,13.0711,77.5999
1616,Javarandoddi,-,-,12400,12400,-,-,12.9311,77.5204
1617,JAYANAGAR 2ND BLOCK,-,-,"14,000 - 17,000",15500,-,-,12.9398,77.5834
1618,Jedara Halli,-,-,25000,25000,-,-,12.9816,77.5501
1619,John Nagar,15200,15200,40000,40000,-,-,12.931,77.62
1620,JP Nagar Dollars Colony,-,-,-,-,40000,40000,12.9043,77.5985
1621,Judiciary Layout,-,-,16000,16000,-,-,13.0778,77.587
1622,Kachamaranahalli,-,-,21000,21000,-,-,12.9122,77.7334
1623,Kadugodi Plantation,5000,5000,-,-,-,-,12.9931,77.7516
1624,Kalidasa Layout,10000,10000,14000,14000,-,-,12.9485,77.5516
1625,Kanmanike,-,-,12000,12000,-,-,12.8641,77.4336
1626,Karuna Nagar,-,-,-,-,"23,000 - 26,000",24500,12.8435,77.65
1627,KEB Layout,8000,8000,21000,21000,-,-,13.0308,77.5799
1628,Kumara Park East,-,-,-,-,55000,55000,12.9913,77.5813
1629,Kumbena Agrahara,-,-,-,-,21500,21500,13.0013,77.7466
1630,Kvalasanahalli,-,-,14000,14000,-,-,13.0601,77.658
1631,Langford Gardens,22000,22000,-,-,-,-,12.9638,77.5985
1632,Madagondanahalli,-,-,18800,18800,20000,20000,12.8248,77.6579
1633,Manjunath Layout,-,-,24000,24000,-,-,12.8909,77.591
1634,Manjunatha Layout Munnekollal,-,-,"16,900 - 17,000",16950,-,-,12.9491,77.713
1635,Manorayanapalya,6000,6000,-,-,-,-,13.0302,77.6041
1636,Markandhaiha Nagar,-,-,23000,23000,-,-,13.0995,77.6309
1637,Maruthi Extension,-,-,15000,15000,-,-,12.9982,77.5622
1638,Maruthi Nagar Madivala,-,-,15000,15000,-,-,12.925,77.6128
1639,Munneshwara Layout,-,-,23200,23200,32200,32200,13.0374,77.7323
1640,Nagarabhavi NGEF Layout,-,-,18000,18000,-,-,12.9588,77.5089
1641,Nagarathnamma Layout,18000,18000,-,-,25000,25000,13.0032,77.7576
1642,Nagareshwara Nagenahalli,8500,8500,-,-,32500,32500,13.0739,77.6393
1643,Nagavara Village,-,-,12000,12000,-,-,13.0422,77.6136
1644,Nanjamba Agrahara,10000,10000,-,-,-,-,12.9535,77.5598
1645,NGEF layout,17000,17000,18000,18000,-,-,12.9588,77.5089
1646,Nimbekaipura,-,-,-,-,20000,20000,13.0581,77.7561
1647,Nobo Nagar,7500,7500,-,-,-,-,12.8681,77.596
1648,Nrupathunga Nagar,7500,7500,-,-,-,-,12.883,77.5845
1649,Palanahalli,6000,6000,-,-,-,-,13.1142,77.6099
1650,Panchasheel Nagar,12000,12000,8500,8500,-,-,12.9756,77.5197
1651,Paradise Colony,14000,14000,17000,17000,-,-,12.8955,77.587
1652,Pavamanapura,8500,8500,-,-,-,-,12.8727,77.5171
1653,Peace Layout,-,-,22000,22000,-,-,13.014,77.6302
1654,PF Layout,-,-,10000,10000,-,-,12.9678,77.534
1655,pillanna garden,-,-,20000,20000,-,-,13.01,77.6185
1656,Prakash Layout,-,-,20000,20000,25000,25000,12.9397,77.7513
1657,Prakruthi Layout,11000,11000,-,-,-,-,13.039,77.6328
1658,Punyabhoomi Layout,8000,8000,23000,23000,-,-,13.0307,77.6733
1659,Rajiv Nagar,-,-,16000,16000,-,-,12.8853,77.6731
1660,Ramagundana Halli,-,-,21000,21000,-,-,12.9558,77.7409
1661,Ramaswamy palya,-,-,13000,13000,-,-,13.0087,77.6341
1662,RK Hegde Nagar Bangalore,5000,5000,10000,10000,-,-,13.0676,77.6336
1663,Sahakar Nagar Canara Bank Layout,-,-,-,-,30000,30000,13.0704,77.5772
1664,Sai Colony,-,-,13000,13000,-,-,13.0024,77.7545
1665,Sampangiram Nagar,12500,12500,18000,18000,-,-,12.9937,77.5747
1666,Saraipalya,10000,10000,-,-,-,-,13.0518,77.6275
1667,Sarvabhouma Nagar,-,-,14000,14000,-,-,12.9139,77.5516
1668,Sathya Sai Layout,15000,15000,-,-,-,-,12.9733,77.7524
1669,SBM Colony,-,-,11000,11000,-,-,13.0363,77.5559
1670,Sector 4,9500,9500,31000,31000,-,-,12.962,77.6923
1671,Shakthi Ganapathi Nagar,11000,11000,12000,12000,-,-,12.9923,77.5372
1672,Shanthi Nagar,12000,12000,-,-,-,-,12.8486,77.6837
1673,Siddaramana Dinne,12000,12000,-,-,-,-,12.9866,77.5576
1674,Singasandra AECS Layout A Block,12000,12000,16000,16000,-,-,12.881,77.6522
1675,Sri Ananth Nagar,-,-,14800,14800,20000,20000,12.8343,77.6958
1676,ST Bed Bangalore,10000,10000,-,-,-,-,12.9317,77.6357
1677,Sunshine Layout,-,-,18000,18000,22000,22000,13.0244,77.698
1678,T C palya,-,-,16000,16000,-,-,13.0191,77.7037
1679,Tala Cauvery Layout,-,-,17000,17000,-,-,12.9674,77.6797
1680,Thathaguni,-,-,6000,6000,-,-,12.8432,77.5118
1681,Tigalarapalya,-,-,42000,42000,-,-,13.0168,77.4802
1682,UAS Layout,-,-,"18,500 - 20,000",19250,-,-,13.0416,77.5773
1683,Udayanagar Extension,8000,8000,18000,18000,-,-,12.9901,77.6714
1684,University Campus,5500,5500,13000,13000,-,-,12.9504,77.5022
1685,V S Reddy Colony,4800,4800,22100,22100,-,-,12.9908,77.7638
1686,Vignana Kendra,-,-,22000,22000,-,-,13.0797,77.5808
1687,Vignana Nagar Bengaluru,-,-,15500,15500,-,-,12.9745,77.6806
1688,Vinayak Nagar,-,-,24000,24000,-,-,12.9633,77.6792
1689,Viswa Vihar,-,-,18000,18000,-,-,12.9831,77.6608
1690,Viveka Nagar,-,-,12000,12000,-,-,12.9545,77.6191
1691,West of Chord Road,16000,16000,-,-,-,-,12.9994,77.5455
1692,Yarandahalli,-,-,9750,9750,-,-,12.8112,77.6694
1693,Yediyur,7500,7500,20000,20000,-,-,12.9312,77.5723
1694,Yelanahalli,15000,15000,-,-,-,-,12.8594,77.6149
1695,Yellama Layout,-,-,18000,18000,-,-,12.8755,77.6505
1696,1st Stage Indira Nagar,-,-,-,-,60000,60000,12.9801,77.6429
1697,2nd Block HRBR Layout HRBR Layout,16000,16000,-,-,-,-,13.0198,77.6413
1698,2nd Block Rajajinagar,5000,5000,-,-,-,-,12.9925,77.5554
1699,2nd Stage,7000,7000,-,-,-,-,12.9083,77.6051
1700,2nd Stage Vijayanagar,10200,10200,-,-,-,-,12.9637,77.5274
1701,3rd Block,-,-,17500,17500,-,-,12.9329,77.5839
1702,3rd Stage BEML Layout,-,-,-,-,22400,22400,12.9169,77.5175
1703,4th Block,-,-,22000,22000,-,-,12.9259,77.583
1704,7th Block Koramangala,18000,18000,-,-,-,-,12.9363,77.6128
1705,Abbaappa Layout,10000,10000,-,-,-,-,12.9073,77.6053
1706,AECS Layout E Block Bangalore,16000,16000,-,-,-,-,12.9624,77.7145
1707,Agrahara Dasarahalli,7500,7500,-,-,-,-,12.9811,77.5438
1708,Akash Nagar,-,-,24000,24000,-,-,12.9917,77.6787
1709,Akashnagar B Narayanapura,-,-,-,-,21500,21500,12.9917,77.6787
1710,Akshaya Residency,16300,16300,-,-,-,-,12.8718,77.6228
1711,Alfa Garden Layout,-,-,18000,18000,-,-,13.0059,77.7215
1712,Amar Regency Layout,-,-,-,-,29000,29000,13.0238,77.6595
1713,Ananda Nagar,-,-,15000,15000,-,-,13.0313,77.5913
1714,Anepalya,-,-,15500,15500,-,-,12.9503,77.6114
1715,Anjanapura 9th Block,-,-,7500,7500,-,-,12.8564,77.567
1716,Ankappa Layout,25200,25200,-,-,-,-,12.9105,77.553
1717,Appajipura,7500,7500,-,-,-,-,13.0034,77.7895
1718,Araka Mico Layout,15000,15000,-,-,-,-,12.8885,77.5945
1719,Atmananda Colony RT Nagar,-,-,19000,19000,-,-,13.0265,77.6017
1720,Ayappa Nagar,-,-,14000,14000,-,-,12.9998,77.7152
1721,Azad Nagar,10000,10000,-,-,-,-,12.9554,77.5548
1722,Banashankari 6th Stage 3rd Block Bangalore,-,-,9000,9000,-,-,12.8829,77.5146
1723,Banashankari Stage I,-,-,-,-,26000,26000,12.9404,77.5506
1724,Bandappa Garden,-,-,18000,18000,-,-,13.0344,77.5519
1725,Bank Avenue Colony,-,-,18900,18900,-,-,13.0227,77.653
1726,Bank Colony,-,-,15000,15000,-,-,12.8833,77.5684
1727,BDA Colony,-,-,25000,25000,-,-,12.9633,77.6356
1728,Begur Patel Layout,-,-,9500,9500,-,-,12.8852,77.6266
1729,BEL,-,-,22000,22000,-,-,13.0734,77.5555
1730,Bharath Nagar Anjana Nagar,-,-,14500,14500,-,-,12.9802,77.4982
1731,Bhattarahalli Bangalore,-,-,10500,10500,-,-,13.0175,77.7108
1732,Bhawani Nagar,-,-,23000,23000,-,-,12.9155,77.5661
1733,BHBCS Layout,14000,14000,-,-,-,-,12.916,77.6013
1734,Block 1st Koramangala,12500,12500,-,-,-,-,12.9265,77.6362
1735,Block 8th Koramangala,12000,12000,-,-,-,-,12.9415,77.6178
1736,Bollahalli,-,-,13000,13000,-,-,13.1005,77.6427
1737,Brindavan Layout,6200,6200,-,-,-,-,12.9986,77.757
1738,BTM Layout 1,-,-,40000,40000,-,-,12.9198,77.6103
1739,Byadralli,12000,12000,-,-,-,-,12.8741,77.4788
1740,Chandana layout,-,-,18000,18000,-,-,12.9863,77.5082
1741,Chennammana Kere,-,-,-,-,21000,21000,12.9279,77.5555
1742,Chikkanna Layout,-,-,-,-,65000,65000,13.0393,77.64
1743,Chola Nagar,-,-,8500,8500,-,-,13.0342,77.5927
1744,Cholur Palya,15000,15000,-,-,-,-,12.9721,77.549
1745,Choudadenahalli,-,-,-,-,36000,36000,12.8856,77.7582
1746,Defence Enclave,-,-,15500,15500,-,-,13.0496,77.6165
1747,Doctors Layout,-,-,24000,24000,-,-,12.8964,77.6132
1748,Doddabanahalli,-,-,-,-,15000,15000,13.0265,77.7409
1749,Doddakammanahalli,-,-,-,-,20000,20000,12.8497,77.5999
1750,Dollars Colony Stage 2,-,-,30000,30000,-,-,12.9071,77.6025
1751,Ejipura ST Bed,13000,13000,-,-,-,-,12.9317,77.6357
1752,Electronic City Doddanagamangala Village,-,-,-,-,33000,33000,12.867,77.6618
1753,Elita Promenade,-,-,35000,35000,-,-,12.8931,77.5795
1754,Excise Colony,-,-,-,-,35000,35000,13.0393,77.5813
1755,Ganga Nagar Extension,-,-,20000,20000,-,-,13.0198,77.587
1756,Gangamma Circle,-,-,-,-,22000,22000,13.0567,77.5467
1757,Gattigere,-,-,12000,12000,-,-,12.9201,77.5261
1758,Gaurav Nagar Phase 7,-,-,14000,14000,-,-,12.8866,77.5784
1759,Gayathri Nagar,-,-,14000,14000,-,-,13.0007,77.5576
1760,Gayatrinagar,-,-,-,-,30000,30000,13.0007,77.5576
1761,Geddalahalii,14000,14000,-,-,-,-,13.0292,77.5756
1762,GKVK,-,-,-,-,30000,30000,13.0797,77.5808
1763,Gopalkrishna Nagar,-,-,30000,30000,-,-,12.9927,77.7588
1764,Govindrajanagar,-,-,8000,8000,-,-,12.9763,77.5354
1765,Gublala,-,-,11000,11000,-,-,12.8871,77.5433
1766,Guniagrahara,-,-,7000,7000,-,-,13.0922,77.5204
1767,Gururaja Layout,-,-,-,-,32900,32900,12.969,77.6933
1768,HAL 2nd stage,13000,13000,-,-,-,-,12.9673,77.6433
1769,HAL 3rd Stage Bangalore,-,-,-,-,80000,80000,12.9683,77.6503
1770,Hanumannath Nagar,-,-,-,-,32000,32000,12.9425,77.5626
1771,Harsha Layout,-,-,10000,10000,-,-,12.9176,77.4881
1772,HBR Layout 2nd Block Stage 1,-,-,-,-,27000,27000,13.0232,77.6286
1773,HBR Telecom Layout,-,-,25000,25000,-,-,13.0377,77.6288
1774,Hebbagodi,6000,6000,-,-,-,-,12.8257,77.678
1775,Hebbal Bangalore,9500,9500,-,-,-,-,13.0354,77.5988
1776,Heelalige,-,-,17000,17000,-,-,12.8186,77.7066
1777,Hennur Road Banasawadi Road HRBR Layout,-,-,-,-,37000,37000,13.0249,77.6343
1778,Hiremath Layout,-,-,13500,13500,-,-,13.0477,77.643
1779,Hoshalli Extension,8000,8000,-,-,-,-,12.9718,77.5433
1780,HSR Layout 2nd sector Banglor,7000,7000,-,-,-,-,12.908,77.6516
1781,IAS Colony,21000,21000,-,-,-,-,12.9117,77.6108
1782,II Stage HAL Indira Nagar,-,-,-,-,40000,40000,12.9673,77.6433
1783,Immadihalli Main Road,-,-,14000,14000,-,-,12.9698,77.75
1784,Indradhanush Layout,10000,10000,-,-,-,-,13.0635,77.6511
1785,Indraprastha Spiritual Colony,-,-,-,-,22000,22000,12.858,77.5961
1786,Jagadish Nagar,-,-,26000,26000,-,-,12.9685,77.664
1787,Jagajeevan Ram Nagar,-,-,35000,35000,-,-,12.9656,77.5507
1788,Janashakthi Nagar,9000,9000,-,-,-,-,12.9847,77.4562
1789,Jaya Chamarajendra Nagar,-,-,17000,17000,-,-,13.0082,77.5949
1790,Jinkethimmanahalli,-,-,13000,13000,-,-,13.028,77.6838
1791,Jyothi Nagar,-,-,7500,7500,-,-,12.9629,77.6672
1792,K R Garden,15600,15600,-,-,-,-,12.9542,77.6561
1793,Kalappa Layout,-,-,18000,18000,-,-,12.9677,77.6869
1794,Kallumantapa,-,-,16000,16000,-,-,13.0191,77.6601
1795,Kathriguppe Banashankari 3rd Stage,-,-,15000,15000,-,-,12.9294,77.5569
1796,Katriguppa Main Road,9000,9000,-,-,-,-,12.9255,77.5468
1797,Kaval Bairasandra,-,-,-,-,25000,25000,13.0237,77.608
1798,Kaverappa Layout,12000,12000,-,-,-,-,12.934,77.698
1799,Kempapura,-,-,23400,23400,-,-,13.0529,77.6015
1800,Kempe Gowda Nagar,-,-,-,-,22000,22000,12.9473,77.5634
1801,KHB Colony Extension,-,-,5000,5000,-,-,13.0279,77.6085
1802,Kodichikknahalli Lake City,-,-,16000,16000,-,-,12.8998,77.6171
1803,Koramangala 5th Block,32000,32000,-,-,-,-,12.9352,77.62
1804,Koramangala Jakkasandra,13000,13000,-,-,-,-,12.9234,77.6386
1805,Krishna Reddy Layout,-,-,35000,35000,-,-,12.9545,77.64
1806,Kudremukh Colony,-,-,20000,20000,-,-,12.9244,77.626
1807,Kumaraswamy Layout II Stage,-,-,9000,9000,-,-,12.9027,77.5598
1808,Kuvempu Layout,-,-,18999,18999,-,-,13.0651,77.6531
1809,Lakkanna Compound,14000,14000,-,-,-,-,12.8932,77.5725
1810,Lakshmamma Layout,-,-,21000,21000,-,-,13.0134,77.6556
1811,Lakshminarayana Pura,10500,10500,-,-,-,-,12.9578,77.713
1812,LB Shastri Nagar,8000,8000,-,-,-,-,12.9671,77.6705
1813,Lingarajasagara,-,-,12000,12000,-,-,13.1112,77.5032
1814,LN Puram,8000,8000,-,-,-,-,12.9942,77.5631
1815,Lords Steps Layout,-,-,18000,18000,-,-,12.9308,77.7119
1816,Lottegolla Halli,-,-,15500,15500,-,-,13.0457,77.567
1817,M.C.Layout,15500,15500,-,-,-,-,12.9763,77.5395
1818,Madava Upanagara,10000,10000,-,-,-,-,12.9663,77.5311
1819,Madiwala,-,-,17000,17000,-,-,12.9226,77.6174
1820,Mahalakshmipuram Layout,-,-,-,-,30000,30000,13.0146,77.5514
1821,Manchapanahalli,14000,14000,-,-,-,-,13.1352,77.7258
1822,Manjunatha Nagar,-,-,20000,20000,-,-,12.9818,77.5575
1823,Manorayana Palya,-,-,14500,14500,-,-,13.0302,77.6041
1824,Manyata Residency Bengaluru,-,-,-,-,34000,34000,13.0541,77.6228
1825,Mariyannapalya,-,-,-,-,18000,18000,13.0538,77.6074
1826,Marthi Nagar,-,-,14500,14500,-,-,12.925,77.6128
1827,MRCR Layout,-,-,10000,10000,-,-,12.9703,77.5351
1828,Mudalapalya,60000,60000,-,-,-,-,12.9722,77.5234
1829,Munivenkatppa Layout,-,-,20000,20000,-,-,12.9048,77.6042
1830,Muthurayya Swamy Layout,16000,16000,-,-,-,-,12.875,77.6013
1831,Nagarabhavi 1st Stage,-,-,12500,12500,-,-,12.9532,77.5223
1832,Narayana Reddy Layout,16500,16500,-,-,-,-,12.8503,77.6717
1833,Nataraja Layout,-,-,15000,15000,-,-,12.8898,77.5856
1834,Navaratan Gardens,-,-,-,-,25000,25000,12.882,77.5548
1835,New Bank Colony,18000,18000,-,-,-,-,12.8833,77.5684
1836,Nrupatunga Nagar,-,-,16600,16600,-,-,12.9572,77.5104
1837,Palm Kingdom Layout,8000,8000,-,-,-,-,13.0296,77.7185
1838,Pampa Extension,-,-,18000,18000,-,-,13.0515,77.5999
1839,Parijatha Layout,-,-,-,-,15000,15000,13.0601,77.7924
1840,Patel Narayanswamy Layout,13500,13500,-,-,-,-,12.9537,77.7314
1841,Pattegarhpalya,10000,10000,-,-,-,-,12.9775,77.5229
1842,Platinum City Bangalore,-,-,32000,32000,-,-,13.037,77.5326
1843,Pragathi Layout,-,-,16000,16000,-,-,12.9737,77.6941
1844,Prashant Nagar,-,-,14000,14000,-,-,12.979,77.5326
1845,Prashanth Nagar,-,-,-,-,90000,90000,12.979,77.5326
1846,Pulikeshi Nagar,17000,17000,-,-,-,-,12.997,77.6144
1847,Puttenahalli Phase 7,12500,12500,-,-,-,-,12.8938,77.5813
1848,Ragavendra Nagar,5500,5500,-,-,-,-,13.0115,77.4888
1849,rajajinagar,-,-,35000,35000,-,-,12.9982,77.553
1850,Rajajinagar 5th Block,-,-,-,-,23000,23000,12.9854,77.5504
1851,Rajanna Layout,-,-,16000,16000,-,-,13.0407,77.6547
1852,Rajiv Gandhi Layout,5000,5000,-,-,-,-,13.0336,77.5972
1853,Ramanashree Enclave,12700,12700,-,-,-,-,12.9008,77.6085
1854,Ramanjaneya Nagar,-,-,8500,8500,-,-,12.9113,77.5452
1855,Ranganatha Layout,12000,12000,-,-,-,-,12.988,77.6853
1856,Ravindra Nagar,-,-,25000,25000,-,-,13.0529,77.5193
1857,Reliaable Lifestyle Layout,-,-,23000,23000,-,-,12.8952,77.6686
1858,Sai Gardens,13000,13000,-,-,-,-,13.013,77.7552
1859,Sai Sree Layout,-,-,-,-,25000,25000,12.8759,77.6636
1860,Sarathynagar,-,-,-,-,28000,28000,12.8747,77.5723
1861,Shankarappa Layout,7199,7199,-,-,-,-,12.8597,77.6733
1862,Shanthi Pura,9000,9000,-,-,-,-,12.8486,77.6837
1863,Shastri Nagar,-,-,8500,8500,-,-,12.9323,77.5733
1864,Shirdi Sai Nagar Bangalore,-,-,15050,15050,-,-,13.0686,77.6389
1865,Shreyas Colony,-,-,17000,17000,-,-,12.8815,77.5762
1866,Sidhi Vinayaka Layout,-,-,-,-,14000,14000,13.0361,77.5802
1867,Silicon Enclave Residential Layout,9400,9400,-,-,-,-,12.8804,77.5698
1868,Silk Board,8000,8000,-,-,-,-,12.9177,77.6238
1869,Sindhi Colony,-,-,32000,32000,-,-,12.9916,77.6171
1870,Singapura Village,-,-,10000,10000,-,-,13.0807,77.5363
1871,Someshvarapura Layout,13500,13500,-,-,-,-,12.9697,77.6314
1872,Sonnenahalli,-,-,14000,14000,-,-,13.015,77.7381
1873,Spice Garden Road,8500,8500,-,-,-,-,12.958,77.7089
1874,Sri Nivasa Reddy Layout,-,-,32000,32000,-,-,12.965,77.7116
1875,Srinivas nagar,-,-,16000,16000,-,-,12.9356,77.5548
1876,Srinivasan Layout,-,-,17000,17000,-,-,12.9187,77.5397
1877,SSI Industrial Area,11000,11000,-,-,-,-,12.9813,77.558
1878,Stage 1,11235,11235,-,-,-,-,12.98,77.64
1879,Subbannaiah Palya,-,-,17000,17000,-,-,13.0096,77.6386
1880,Subbannayapalya,-,-,-,-,20000,20000,13.0109,77.6439
1881,Suddaguntapalya,9000,9000,-,-,-,-,12.9828,77.655
1882,Suncity BSM Extension,-,-,12000,12000,-,-,12.9148,77.4745
1883,SVGNSS Layout,-,-,15000,15000,-,-,12.9959,77.5372
1884,Syndicate Bank Colony,9500,9500,-,-,-,-,12.8839,77.5952
1885,Tech City Layout,-,-,18000,18000,-,-,12.8459,77.649
1886,Thigalarapalya,-,-,38000,38000,-,-,13.0168,77.4802
