,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude,Venues,Food Services,Shopping Services,Leisure Services,General Services
958,Bellandur,13500,13500,"20,000 - 38,000",28884.62,30000,30000,12.9304,77.6784,"['Soccer Field', 'Hotel', 'Lounge', 'Fast Food Restaurant', 'Sandwich Place', 'Hotel', 'Pizza Place', 'Café', 'Kerala Restaurant', 'Shopping Mall', 'Gym', 'Multiplex', 'Café', 'Fast Food Restaurant', 'Hotel', 'Bakery', 'Kerala Restaurant', 'Indian Restaurant', 'Hotel Bar', 'Indian Restaurant', 'Café', 'Burger Joint', 'Indian Restaurant', 'Pizza Place', 'Restaurant', 'Tea Room', 'Breakfast Spot', 'Café', 'Food Court', 'Indian Restaurant', 'Indian Restaurant', 'Bus Station', 'Kerala Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Coffee Shop', 'Indian Restaurant']",29.0,1.0,6.0,1.0
959,Devanahalli,"13,000 - 40,000",26500,"12,000 - 22,000",16600,"45,000 - 60,000",49000,13.1508,77.7088,[],0.0,0.0,0.0,0.0
960,Electronic City Phase 2,"5,000 - 10,500",8296.88,16750,16750,"15,000 - 28,000",22730.77,12.8441,77.6794,"['Basketball Court', 'Toll Plaza', 'Café', 'Outlet Store', 'Bus Stop', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant']",3.0,1.0,2.0,1.0
961,KR Puram,"3,000 - 20,000",9728,"10,000 - 22,800",13453.33,14000,14000,13.017,77.7044,"['Indian Restaurant', 'Pizza Place', 'Indian Restaurant', 'Café', 'Bakery', 'Hotel']",5.0,0.0,1.0,0.0
962,Harlur,"10,000 - 20,000",14750,18000,18000,33000,33000,12.9017,77.6605,"['Lake', 'North Indian Restaurant', 'Flea Market', 'Gym / Fitness Center']",1.0,1.0,2.0,0.0
963,Budigere Cross,15000,15000,"18,000 - 23,000",20333.33,"20,000 - 80,000",32571.43,13.0638,77.7456,['Cupcake Shop'],1.0,0.0,0.0,0.0
964,Varthur,"6,000 - 16,000",9690,"9,500 - 18,000",12900,"28,000 - 75,000",48333.33,12.9389,77.7412,"['Indie Movie Theater', 'Indian Restaurant']",1.0,0.0,1.0,0.0
965,Jakkur,"8,500 - 9,500",9000,"12,000 - 20,000",16000,"25,000 - 30,000",27500,13.0631,77.6207,"['Badminton Court', 'Sports Club', 'Vegetarian / Vegan Restaurant']",1.0,0.0,2.0,0.0
966,Talaghattapura,-,-,"12,000 - 21,000",16400,18000,18000,12.8691,77.5342,"['Indian Restaurant', 'Scenic Lookout', 'Indian Restaurant', 'Wine Shop', 'Gas Station']",3.0,0.0,1.0,1.0
967,Rajarajeshwari Nagar,"6,000 - 15,000",10050,"15,000 - 22,000",18000,"15,000 - 20,000",17500,12.9149,77.5206,"['Café', 'Indian Restaurant', 'Bakery', 'Café', 'Department Store', 'Department Store', 'Athletics & Sports']",4.0,2.0,1.0,0.0
968,Hoskote,"9,000 - 11,000",10000,"13,500 - 16,500",15000,"9,000 - 18,000",15000,13.0693,77.7982,[],0.0,0.0,0.0,0.0
