,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude,Venues,Food Services,Shopping Services,Leisure Services,General Services
0,Whitefield,"6,000 - 25,000",11192.86,"12,000 - 25,000",17375,"30,000 - 49,000",39500,12.9698,77.75,"['Eastern European Restaurant', 'Gym / Fitness Center', 'Bakery', 'Brewery', 'Brewery', 'Hotel', 'Café', 'Indian Restaurant', 'Hotel Bar', 'Chinese Restaurant', 'Gym / Fitness Center', 'Diner', 'Café', 'Kerala Restaurant', 'Restaurant', 'Indian Restaurant', 'Grocery Store']",13.0,1.0,3.0,0.0
1,Anekal City,6300,6300,10000,10000,-,-,12.7105,77.6911,['ATM'],0.0,0.0,0.0,1.0
2,Jigani,"5,800 - 10,500",7466.67,14000,14000,11000,11000,12.7791,77.6436,"['Hotel', 'Indian Restaurant']",1.0,0.0,1.0,0.0
3,Yelahanka,"6,500 - 18,000",10500,"10,000 - 15,000",11500,18500,18500,13.1186,77.5975,[],0.0,0.0,0.0,0.0
4,Horamavu,"5,000 - 23,000",10415.63,"10,000 - 20,000",15535.71,"15,000 - 42,000",23700,13.0326,77.6583,"['Athletics & Sports', 'Warehouse Store', 'Chinese Restaurant', 'Indian Restaurant']",2.0,0.0,1.0,1.0
5,Whitefield Hope Farm Junction,"14,800 - 21,000",15914.29,18000,18000,"55,000 - 2 L",127500,12.9838,77.7525,"['Vegetarian / Vegan Restaurant', 'Hotel', 'Ice Cream Shop', 'Chinese Restaurant', 'Indian Restaurant', 'Chaat Place', 'Eastern European Restaurant', 'Hotel']",6.0,0.0,2.0,0.0
6,Electronic City Phase 1,"5,000 - 11,000",7570.14,5000,5000,"32,000 - 37,000",35000,12.8431,77.6565,"['Asian Restaurant', 'Pizza Place', 'Café', 'Department Store', 'Juice Bar', 'Café', 'Asian Restaurant', 'Fast Food Restaurant', 'Coffee Shop', 'Fast Food Restaurant', 'Fast Food Restaurant', 'Breakfast Spot', 'Indian Restaurant', 'Indian Restaurant', 'Hotel', 'Hotel', 'Fast Food Restaurant', 'Food', 'Snack Place', 'Restaurant', 'Market']",17.0,2.0,2.0,0.0
7,Chandapura,4500,4500,"8,000 - 12,000",9666.67,7000,7000,12.8005,77.7139,"['Indian Restaurant', 'Department Store', 'Restaurant']",2.0,1.0,0.0,0.0
8,Bellandur,13500,13500,"20,000 - 38,000",28884.62,30000,30000,12.9304,77.6784,"['Soccer Field', 'Hotel', 'Lounge', 'Fast Food Restaurant', 'Sandwich Place', 'Hotel', 'Pizza Place', 'Café', 'Kerala Restaurant', 'Shopping Mall', 'Gym', 'Multiplex', 'Café', 'Fast Food Restaurant', 'Hotel', 'Bakery', 'Kerala Restaurant', 'Indian Restaurant', 'Hotel Bar', 'Indian Restaurant', 'Café', 'Burger Joint', 'Indian Restaurant', 'Pizza Place', 'Restaurant', 'Tea Room', 'Breakfast Spot', 'Café', 'Food Court', 'Indian Restaurant', 'Indian Restaurant', 'Bus Station', 'Kerala Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Coffee Shop', 'Indian Restaurant']",29.0,1.0,6.0,1.0
9,Devanahalli,"13,000 - 40,000",26500,"12,000 - 22,000",16600,"45,000 - 60,000",49000,13.1508,77.7088,[],0.0,0.0,0.0,0.0
10,Electronic City Phase 2,"5,000 - 10,500",8296.88,16750,16750,"15,000 - 28,000",22730.77,12.8441,77.6794,"['Basketball Court', 'Toll Plaza', 'Café', 'Outlet Store', 'Bus Stop', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant']",3.0,1.0,2.0,1.0
11,KR Puram,"3,000 - 20,000",9728,"10,000 - 22,800",13453.33,14000,14000,13.017,77.7044,"['Indian Restaurant', 'Pizza Place', 'Indian Restaurant', 'Café', 'Bakery', 'Hotel']",5.0,0.0,1.0,0.0
12,Harlur,"10,000 - 20,000",14750,18000,18000,33000,33000,12.9017,77.6605,"['Lake', 'North Indian Restaurant', 'Flea Market', 'Gym / Fitness Center']",1.0,1.0,2.0,0.0
13,Budigere Cross,15000,15000,"18,000 - 23,000",20333.33,"20,000 - 80,000",32571.43,13.0638,77.7456,['Cupcake Shop'],1.0,0.0,0.0,0.0
14,Varthur,"6,000 - 16,000",9690,"9,500 - 18,000",12900,"28,000 - 75,000",48333.33,12.9389,77.7412,"['Indie Movie Theater', 'Indian Restaurant']",1.0,0.0,1.0,0.0
15,Jakkur,"8,500 - 9,500",9000,"12,000 - 20,000",16000,"25,000 - 30,000",27500,13.0631,77.6207,"['Badminton Court', 'Sports Club', 'Vegetarian / Vegan Restaurant']",1.0,0.0,2.0,0.0
16,Talaghattapura,-,-,"12,000 - 21,000",16400,18000,18000,12.8691,77.5342,"['Indian Restaurant', 'Scenic Lookout', 'Indian Restaurant', 'Wine Shop', 'Gas Station']",3.0,0.0,1.0,1.0
17,Rajarajeshwari Nagar,"6,000 - 15,000",10050,"15,000 - 22,000",18000,"15,000 - 20,000",17500,12.9149,77.5206,"['Café', 'Indian Restaurant', 'Bakery', 'Café', 'Department Store', 'Department Store', 'Athletics & Sports']",4.0,2.0,1.0,0.0
18,Hoskote,"9,000 - 11,000",10000,"13,500 - 16,500",15000,"9,000 - 18,000",15000,13.0693,77.7982,[],0.0,0.0,0.0,0.0
19,Marathahalli,"5,500 - 15,000",11187.5,"12,000 - 23,000",18666.67,33000,33000,12.9569,77.7011,"['Kerala Restaurant', 'Indian Restaurant', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant', 'Steakhouse', 'BBQ Joint', 'Racetrack', 'Hotel', 'Restaurant', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant', 'Lounge', 'Indian Restaurant', 'Pub', 'Clothing Store', 'Indian Restaurant', 'Movie Theater', 'Racetrack', 'Indian Restaurant', 'Sporting Goods Shop', 'Chinese Restaurant', 'Indian Restaurant', 'Clothing Store', 'Bakery', 'Gastropub', 'Indian Restaurant', 'South Indian Restaurant', 'Dessert Shop', 'Pizza Place', 'Dessert Shop', 'Café', 'Breakfast Spot', 'Hotel', 'BBQ Joint']",26.0,3.0,5.0,0.0
20,Uttarahalli,-,-,12000,12000,"19,000 - 28,000",23666.67,12.907,77.5521,"['Bakery', 'Pizza Place', 'Café', 'Indian Restaurant', 'Department Store', 'Paintball Field', 'Bakery', 'Gym', 'Indian Restaurant', 'Fast Food Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Department Store', 'Café', 'Movie Theater', 'Sandwich Place']",11.0,2.0,3.0,0.0
21,Rajaji Nagar,"9,500 - 14,000",11500,"10,000 - 1.1 L",56717.95,22500,22500,12.9982,77.553,"['Fast Food Restaurant', 'Bakery', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Vegetarian / Vegan Restaurant', 'Café', 'Chinese Restaurant', 'Café', 'Seafood Restaurant', 'Fast Food Restaurant', 'Gym / Fitness Center', 'Juice Bar', 'Juice Bar', 'Juice Bar', 'Electronics Store', 'Restaurant', 'Light Rail Station', 'Pizza Place', 'Chinese Restaurant', 'Snack Place', 'Fast Food Restaurant', 'Grocery Store', 'Burger Joint', 'Electronics Store', 'Indian Restaurant', 'Electronics Store', 'Food & Drink Shop']",23.0,4.0,1.0,1.0
22,Banaswadi,"5,000 - 18,000",13509.09,"15,000 - 28,000",19500,"24,000 - 35,000",30500,13.0104,77.6482,"['Indian Restaurant', 'Bakery', 'Vegetarian / Vegan Restaurant', 'Pharmacy', 'Indian Restaurant', 'Convenience Store', 'Kerala Restaurant', 'Grocery Store', 'Market', 'Indian Restaurant', 'BBQ Joint', 'Seafood Restaurant']",8.0,3.0,0.0,1.0
23,Sarjapur,"10,000 - 13,500",11375,"10,000 - 30,000",15250,"20,000 - 30,000",24000,12.8549,77.7881,['Movie Theater'],0.0,0.0,1.0,0.0
24,Thanisandra,"7,500 - 8,500",8000,"14,000 - 25,500",19125,22000,22000,13.0559,77.6325,"['Pharmacy', 'Restaurant', 'Gas Station', 'Indian Sweet Shop']",2.0,0.0,0.0,2.0
25,Koramangala,"7,500 - 28,000",14181.82,"15,000 - 50,000",25909.09,"25,000 - 4 L",108000,12.9352,77.6244,"['Fast Food Restaurant', 'Breakfast Spot', 'Café', 'Candy Store', 'Bakery', 'Italian Restaurant', 'Yoga Studio', 'Thai Restaurant', 'Breakfast Spot', 'Hot Dog Joint', 'Café', 'Ice Cream Shop', 'Dessert Shop', 'Andhra Restaurant', 'Toy / Game Store', 'Coffee Shop', 'Gym', 'Café', 'Asian Restaurant', 'Clothing Store', 'Pizza Place', 'Chinese Restaurant', 'Italian Restaurant', 'Pub', 'Café', 'Seafood Restaurant', 'Mobile Phone Shop', 'Café', 'Indian Sweet Shop', 'Indian Restaurant', 'Indian Restaurant', 'Cupcake Shop', 'Coffee Shop', 'Café', 'Dessert Shop', 'Gastropub', 'Juice Bar', 'Hotel', 'Pizza Place', 'Bar', 'Indian Restaurant', 'South Indian Restaurant', 'Ice Cream Shop', 'Indian Restaurant', 'Lounge', 'Beer Garden', 'Gym', 'Coffee Shop', 'Vegetarian / Vegan Restaurant', 'Clothing Store', 'Kerala Restaurant', 'Indian Restaurant', 'Pizza Place', 'Gym / Fitness Center', 'Brewery', 'Lounge', 'Juice Bar', 'Liquor Store', 'Italian Restaurant', 'Pub', 'Indian Restaurant', 'Indian Restaurant', 'Bar', 'Café', 'Café', 'Café', 'Ice Cream Shop', 'Tea Room', 'Indian Restaurant', 'Food Court', 'BBQ Joint', 'Chinese Restaurant', 'Italian Restaurant', 'Ice Cream Shop', 'Indian Restaurant', 'Indian Restaurant', 'Brewery', 'Beer Garden', 'Café', 'Indian Restaurant', 'Coffee Shop', 'Italian Restaurant', 'Café', 'Mexican Restaurant', 'Indian Restaurant', 'Café', 'Pub', 'Ice Cream Shop', 'American Restaurant', 'Indian Restaurant', 'Electronics Store', 'Vegetarian / Vegan Restaurant', 'Restaurant', 'Kerala Restaurant', 'Café', 'Department Store', 'Café', 'Pharmacy']",86.0,6.0,5.0,1.0
26,Bommasandra,"8,500 - 9,000",8750,"6,500 - 12,000",8200,"17,000 - 30,000",21909.09,12.8167,77.6974,"['Sporting Goods Shop', 'Electronics Store']",0.0,2.0,0.0,0.0
27,HSR Layout,"7,000 - 30,000",17583.33,"18,500 - 28,000",24450,50000,50000,12.9121,77.6446,"['Snack Place', 'Pizza Place', 'Pub', 'Café', 'Kebab Restaurant', 'Indian Restaurant', 'Ice Cream Shop', 'Burger Joint', 'Café', 'Pizza Place', 'Pizza Place', 'Trail', 'Steakhouse', 'Restaurant', 'Indian Restaurant', 'Punjabi Restaurant', 'Café', 'Snack Place', 'Café', 'Department Store', 'Gym / Fitness Center', 'Ice Cream Shop', 'Indian Restaurant', 'Indian Restaurant', 'Chinese Restaurant', 'Coffee Shop', 'North Indian Restaurant', 'Café', 'Mediterranean Restaurant', 'Pizza Place', 'General Entertainment', 'Liquor Store', 'Department Store', 'South Indian Restaurant', 'Café', 'Gym / Fitness Center', 'Sandwich Place', 'Seafood Restaurant', 'Indian Restaurant', 'Badminton Court', 'Ice Cream Shop', 'Department Store', 'Fast Food Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Café', 'Indian Restaurant', 'Indian Restaurant', 'Lounge', 'Tea Room', 'Street Food Gathering', 'Restaurant', 'Fast Food Restaurant', 'Pizza Place', 'Restaurant', 'Burger Joint', 'American Restaurant', 'Gym', 'Gym', 'Café', 'Snack Place', 'Café', 'Clothing Store', 'Bus Station']",52.0,4.0,7.0,1.0
28,Mahadevapura,"5,000 - 17,000",10500,"9,500 - 22,000",16333.33,28000,28000,12.988,77.6895,"['Department Store', 'Coffee Shop', 'Bus Station', 'Bus Station', 'Burrito Place', 'Café', 'Coffee Shop', 'Shoe Store', 'Brewery']",5.0,2.0,0.0,2.0
29,Horamavu Agara,11800,11800,17800,17800,20800,20800,13.0411,77.6622,['Athletics & Sports'],0.0,0.0,1.0,0.0
30,Begur,"5,500 - 12,000",8285.71,"12,000 - 14,000",13250,16000,16000,12.8788,77.6377,"['Supermarket', 'Food Court', 'Health & Beauty Service', 'Stadium', 'Racecourse']",1.0,1.0,2.0,1.0
31,Hebbal,"6,000 - 16,000",1183.33,"10,000 - 40,000",16875,40000,40000,13.0354,77.5988,"['Pizza Place', 'Department Store', 'Park', 'Market']",1.0,2.0,1.0,0.0
32,Yelahanka New Town,"5,000 - 16,000",9700,"10,500 - 20,000",14125,"16,000 - 25,000",20500,13.1042,77.5713,"['Bus Station', 'Indian Restaurant', 'Snack Place', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Bakery']",6.0,0.0,0.0,1.0
33,Kalyan Nagar,"6,000 - 18,000",14175,"15,000 - 31,000",20250,"25,000 - 35,000",29500,13.024,77.6433,"['Ice Cream Shop', 'Pub', 'Bakery', 'Korean Restaurant', 'Indian Restaurant', 'Bistro', 'Fast Food Restaurant', 'Ice Cream Shop', 'Restaurant', 'BBQ Joint', 'Indian Restaurant', 'Italian Restaurant', 'BBQ Joint', 'Lounge', 'Brewery', 'BBQ Joint', 'Donut Shop', 'Korean Restaurant', 'Indian Chinese Restaurant', 'Indian Restaurant', 'Fast Food Restaurant', 'Pizza Place', 'Café', 'Chinese Restaurant', 'Sandwich Place', 'Bistro', 'Electronics Store', 'Electronics Store', 'Café', 'Café', 'Indian Restaurant', 'Karnataka Restaurant', 'Fast Food Restaurant', 'Gastropub', 'Café', 'Vegetarian / Vegan Restaurant', 'Coffee Shop', 'Ice Cream Shop', 'Pizza Place', 'Dessert Shop', 'Shoe Store', 'Restaurant', 'Optical Shop']",37.0,4.0,2.0,0.0
34,Thirumalashettyhally,"7,500 - 18,000",12750,"15,000 - 25,500",20250,25000,25000,12.9862,77.781,"['Restaurant', 'Indian Restaurant']",2.0,0.0,0.0,0.0
35,Bommanahalli,"6,800 - 12,000",9471.43,"12,000 - 18,000",15000,"15,000 - 45,000",30000,12.903,77.6242,"['Indian Restaurant', 'Indian Restaurant', 'Department Store', 'Restaurant', 'Clothing Store', 'Indian Restaurant', 'Asian Restaurant', 'Cosmetics Shop']",5.0,3.0,0.0,0.0
36,Banashankari,"4,000 - 22,000",12033.33,"10,000 - 25,000",15270.78,"30,000 - 50,000",37666.67,12.9255,77.5468,"['Indian Restaurant', 'Pizza Place', 'Café', 'Pizza Place', 'Pizza Place', 'Fried Chicken Joint', 'Clothing Store', 'Café', 'Clothing Store', 'Fast Food Restaurant', 'Electronics Store', 'North Indian Restaurant', 'Sporting Goods Shop', ""Men's Store"", 'Movie Theater', 'Restaurant']",10.0,5.0,1.0,0.0
37,Kadugodi,12500,12500,"12,000 - 17,000",14500,"15,000 - 25,000",20000,12.9908,77.7608,"['Bus Station', 'Playground', 'Platform', 'Train Station', 'Park']",0.0,0.0,2.0,3.0
38,JP Nagar,"3,600 - 27,000",10183.33,"8,500 - 28,000",19325,"18,000 - 30,000",24000,12.9063,77.5857,"['Snack Place', 'Sandwich Place', 'Brewery', 'Chinese Restaurant', 'Performing Arts Venue', 'Breakfast Spot', 'Brewery', 'Bakery', 'Café', 'Burger Joint', 'Seafood Restaurant', 'Hyderabadi Restaurant', 'Indian Restaurant', 'Gym / Fitness Center', 'Bakery', 'Indian Restaurant', 'Middle Eastern Restaurant', 'Vegetarian / Vegan Restaurant', 'South Indian Restaurant', 'Bar', 'Fast Food Restaurant', 'Bengali Restaurant', 'Chinese Restaurant', 'Ice Cream Shop', 'Ice Cream Shop', 'Coffee Shop', 'Indian Restaurant', 'Electronics Store', 'Chinese Restaurant', 'Coffee Shop', 'Café', 'Indian Restaurant', 'Boarding House', 'Chinese Restaurant', 'Diner', 'Fast Food Restaurant', 'Indian Restaurant', 'Pub', 'Bus Station', 'Indian Restaurant', 'Department Store', 'Gas Station', 'Restaurant', 'Chinese Restaurant']",37.0,2.0,2.0,3.0
39,Ramamurthy Nagar,"6,000 - 20,000",11147.06,"7,500 - 17,000",13619.05,"15,000 - 20,000",16666.67,13.0163,77.6785,"['Supermarket', 'Indian Restaurant', 'Bakery', 'Gastropub', 'South Indian Restaurant', 'Shoe Store', 'Indian Restaurant', 'Jewelry Store']",5.0,3.0,0.0,0.0
40,White Field,"13,000 - 17,000",14750,"17,000 - 19,000",18000,"40,000 - 42,000",41000,12.9698,77.75,"['Eastern European Restaurant', 'Gym / Fitness Center', 'Bakery', 'Brewery', 'Brewery', 'Hotel', 'Café', 'Indian Restaurant', 'Hotel Bar', 'Chinese Restaurant', 'Gym / Fitness Center', 'Diner', 'Café', 'Kerala Restaurant', 'Restaurant', 'Indian Restaurant', 'Grocery Store']",13.0,1.0,3.0,0.0
41,Malleswaram,"6,000 - 16,000",10333.33,"10,000 - 30,000",20000,30000,30000,13.0055,77.5692,"['South Indian Restaurant', 'Snack Place', 'Indian Restaurant', 'Indian Restaurant', 'Ice Cream Shop', 'Indian Restaurant', 'Indian Restaurant', 'Breakfast Spot', 'Vegetarian / Vegan Restaurant', 'Fast Food Restaurant', 'Donut Shop', 'Coffee Shop', 'Indian Restaurant', 'Bakery', 'Ice Cream Shop', 'Café', 'Vegetarian / Vegan Restaurant', 'Ice Cream Shop', 'Chinese Restaurant', 'Flea Market', 'Performing Arts Venue', 'Ice Cream Shop', 'South Indian Restaurant', 'Dessert Shop', 'Coffee Shop', 'Indian Restaurant', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant', 'Gourmet Shop', 'Department Store']",27.0,2.0,1.0,0.0
42,Subramanyapura,"6,000 - 9,500",8166.67,"9,000 - 16,000",12500,"15,000 - 28,000",23000,12.8965,77.5407,"['Asian Restaurant', 'Sports Club', 'Food Truck']",2.0,0.0,1.0,0.0
43,Basavanagudi,"4,500 - 20,000",13166.67,"15,000 - 20,000",17750,"35,000 - 36,000",35500,12.9406,77.5738,"['Indian Restaurant', 'Indian Restaurant', 'Restaurant', 'Indian Restaurant', 'Fast Food Restaurant', 'Indian Restaurant', 'Breakfast Spot', 'Sandwich Place', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Farmers Market', 'Ice Cream Shop', 'Asian Restaurant', 'Indian Restaurant', 'Breakfast Spot', 'Fast Food Restaurant', 'Fast Food Restaurant', 'Juice Bar', 'Tea Room', 'Indian Restaurant', 'Indian Restaurant', 'Hookah Bar', 'Sandwich Place', 'Plaza', 'Café', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Italian Restaurant', 'Indian Restaurant', 'Fast Food Restaurant', 'Accessories Store', 'Indian Restaurant']",32.0,2.0,1.0,0.0
44,Jalahalli,"4,000 - 10,000",6333.33,8500,8500,"16,000 - 32,000",25454.55,13.0528,77.5419,"['Plaza', 'Indie Movie Theater', 'Playground', 'Indian Restaurant']",1.0,0.0,3.0,0.0
45,East Bangalore,12000,12000,18000,18000,"18,000 - 40,000",29000,13.0012,77.6183,"['Indian Restaurant', 'Park', 'Ice Cream Shop', 'Pakistani Restaurant', 'Middle Eastern Restaurant', 'Café', 'Tea Room', 'Juice Bar', 'Shopping Mall', 'Indian Restaurant', 'Fast Food Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Hyderabadi Restaurant', 'Indian Restaurant', 'BBQ Joint', 'Snack Place', 'Bakery', 'Bakery', 'Indian Restaurant', 'Middle Eastern Restaurant', 'Ice Cream Shop', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Tea Room', 'Fast Food Restaurant', 'Sandwich Place', 'Mediterranean Restaurant', 'Gym', 'Pub', 'BBQ Joint', 'Chinese Restaurant', 'Chinese Restaurant', 'Café', 'Chinese Restaurant', 'South Indian Restaurant', 'Department Store', 'Middle Eastern Restaurant', 'Coffee Shop', 'Café', 'Vegetarian / Vegan Restaurant', 'Convenience Store', 'Pizza Place', 'New American Restaurant', 'Department Store', 'Coffee Shop', 'Playground', 'Intersection', 'Pharmacy', 'Pharmacy']",41.0,4.0,3.0,3.0
46,Attibele,7000,7000,"7,000 - 4 L",59475,10000,10000,12.782,77.7719,"['South Indian Restaurant', 'Bakery', 'South Indian Restaurant', 'Indian Restaurant']",4.0,0.0,0.0,0.0
47,ITPL,14500,14500,"20,900 - 30,000",26150,"21,000 - 65,000",40420.11,12.9859,77.7355,"['BBQ Joint', 'Restaurant', 'Pizza Place', 'Hotel', 'Ice Cream Shop', 'Indian Restaurant', 'Mexican Restaurant', 'Hotel', 'Bowling Alley', 'Sandwich Place', 'Falafel Restaurant', 'Café', 'BBQ Joint', 'Indian Restaurant', 'Shopping Mall', 'Indian Restaurant', 'Australian Restaurant', 'Fast Food Restaurant', 'Hotel', 'Indian Restaurant', 'Café', 'American Restaurant', 'Indian Restaurant', 'Playground', 'Kerala Restaurant', 'Cafeteria', 'Indian Restaurant', 'Bus Station', 'Gym', 'Food Court', 'Mediterranean Restaurant', 'Hotel', 'Hotel']",23.0,1.0,8.0,1.0
48,Yeshwantpur,-,-,"12,000 - 34,000",27325,"24,000 - 60,000",39791.04,13.025,77.53399999999998,"['Sporting Goods Shop', 'Grocery Store', 'Light Rail Station']",0.0,2.0,0.0,1.0
49,Battarahalli,"5,000 - 14,000",8916.67,18000,18000,14000,14000,13.0245,77.7073,"['Indian Restaurant', 'Pizza Place', 'Café', 'Hotel', 'Café']",4.0,0.0,1.0,0.0
50,Electronics City Phase 1,"5,500 - 10,000",7600,"11,000 - 13,500",12250,"16,000 - 35,000",25500,12.8431,77.6565,"['Asian Restaurant', 'Pizza Place', 'Café', 'Department Store', 'Juice Bar', 'Café', 'Asian Restaurant', 'Fast Food Restaurant', 'Coffee Shop', 'Fast Food Restaurant', 'Fast Food Restaurant', 'Breakfast Spot', 'Indian Restaurant', 'Indian Restaurant', 'Hotel', 'Hotel', 'Fast Food Restaurant', 'Food', 'Snack Place', 'Restaurant', 'Market']",17.0,2.0,2.0,0.0
51,Vidyaranyapura,"4,200 - 14,500",9522.22,"8,500 - 25,000",14227.27,"12,500 - 30,000",21625,13.0811,77.5562,"['Pizza Place', 'Coffee Shop', 'Café', 'Ice Cream Shop', 'Bus Station', 'Indian Restaurant', 'Department Store', 'Dessert Shop', 'Gym', 'Chinese Restaurant']",7.0,1.0,1.0,1.0
52,Hosa Road,8500,8500,8500,8500,"18,000 - 30,000",22360,12.8706,77.6558,"['Tourist Information Center', 'Department Store', 'Food Court', 'Dog Run', 'Bar']",2.0,1.0,1.0,1.0
53,Hennur,"4,000 - 16,000",1083.33,"10,000 - 22,000",14950,41000,41000,13.0359,77.6431,"['Bakery', 'Hotel', 'Big Box Store', 'Auto Garage']",1.0,1.0,1.0,1.0
54,Doddanekundi,"13,500 - 20,000",15375,"16,000 - 17,000",16500,"12,600 - 36,000",28713.46,12.9721,77.6944,"['Motorcycle Shop', 'Indian Restaurant', 'Mediterranean Restaurant', 'Fried Chicken Joint', 'Coffee Shop', 'Indian Restaurant', 'Café', 'Park', 'Department Store', 'Hotel', 'Movie Theater', 'Breakfast Spot', 'Hyderabadi Restaurant']",8.0,2.0,3.0,0.0
55,Chamarajpet,"6,500 - 10,000",8833.33,"12,500 - 20,000",16500,"30,000 - 35,000",32500,12.957,77.5621,"['Fast Food Restaurant', 'Indian Restaurant', 'Department Store', 'Fast Food Restaurant', 'Movie Theater', 'Indian Restaurant', 'Print Shop', 'Indian Restaurant']",5.0,1.0,1.0,1.0
56,Kogilu,7000,7000,13500,13500,"16,500 - 22,000",19250,13.1012,77.6125,['Golf Course'],0.0,0.0,1.0,0.0
57,Kannamangala,-,-,10000,10000,"20,000 - 35,000",26500,13.0275,77.7606,"['Ice Cream Shop', 'Shopping Plaza', 'Shopping Plaza', 'Restaurant']",2.0,2.0,0.0,0.0
58,Jayanagar,"6,000 - 70,000",17625,"22,000 - 28,000",25000,"30,000 - 1.2 L",77500,12.9308,77.5802,"['Sandwich Place', 'Indian Restaurant', 'Juice Bar', 'Coffee Shop', 'Bookstore', 'Indian Restaurant', 'Juice Bar', 'Gym', 'Sandwich Place', 'Italian Restaurant', 'Café', 'Lounge', 'Ice Cream Shop', 'Pizza Place', 'Italian Restaurant', 'Andhra Restaurant', 'Indian Restaurant', 'Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Mexican Restaurant', 'Coffee Shop', 'Juice Bar', 'Café', 'Indian Restaurant', 'Salad Place', 'Hotel', 'Chinese Restaurant', 'Indian Restaurant', 'Restaurant', 'Bakery', 'Hotel', 'Coffee Shop', 'Jewelry Store', 'Breakfast Spot', 'Fast Food Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Café', 'Chinese Restaurant', 'Jewelry Store', 'Café', 'Dessert Shop', 'Indian Restaurant', 'Indian Restaurant', 'Shopping Plaza', 'Coffee Shop', 'Park', 'Indian Restaurant', 'Chinese Restaurant', 'Indian Restaurant', ""Women's Store"", 'Café', 'Indian Restaurant', 'Gastropub', 'Café', 'Indian Restaurant', 'Ice Cream Shop', 'Donut Shop', 'Hotel', 'Lounge', 'Café', 'Indian Restaurant', 'Clothing Store', 'Fast Food Restaurant', 'Asian Restaurant', 'Chinese Restaurant', 'Bowling Alley', 'BBQ Joint', 'Indian Restaurant', 'Indian Restaurant', 'Café', 'Chinese Restaurant', 'Fast Food Restaurant', 'Park', 'Brewery', 'Candy Store', 'Indian Restaurant', 'Electronics Store', 'Italian Restaurant', 'Chinese Restaurant', 'Bus Station', 'Bar', 'Mobile Phone Shop', 'Indian Restaurant', 'Boutique', 'Hotel', 'Jewelry Store', 'South Indian Restaurant', 'Smoke Shop', 'Miscellaneous Shop', 'Indian Restaurant', 'Buffet', 'Indian Restaurant', 'Paper / Office Supplies Store', 'Indian Restaurant']",75.0,13.0,8.0,1.0
59,Bannerghatta,6500,6500,12000,12000,34000,34000,12.8052,77.5788,"['Zoo', 'Park', 'Park', 'Park']",0.0,0.0,4.0,0.0
60,Medahalli,10000,10000,"8,500 - 11,000",9750,17000,17000,13.0317,77.7161,"['Café', 'Ice Cream Shop']",2.0,0.0,0.0,0.0
61,Bilekahalli,"6,000 - 21,000",13750,"13,000 - 14,500",13750,"20,000 - 50,000",33689.19,12.8985,77.6058,"['Indian Restaurant', 'BBQ Joint', 'Sandwich Place', 'Middle Eastern Restaurant', 'Café', 'Asian Restaurant', 'Farmers Market', 'Café', 'Italian Restaurant', 'Convenience Store', 'Convenience Store', 'Indian Restaurant', 'Indian Restaurant', 'Pharmacy', 'Indian Restaurant', 'Indian Restaurant', 'Department Store', 'Pharmacy', 'Park']",12.0,4.0,1.0,2.0
62,Hennur Road,"14,500 - 19,000",17250,"14,000 - 27,000",17375,"21,000 - 50,000",30500,13.0377,77.6288,"['Vegetarian / Vegan Restaurant', 'Pizza Place', 'Café', 'Road', 'Coffee Shop', 'Jewelry Store', 'French Restaurant']",5.0,1.0,1.0,0.0
63,BTM 2nd Stage,"9,000 - 17,000",12575.81,"18,000 - 22,500",20250,"33,000 - 35,000",34000,12.9083,77.6051,"['Multiplex', 'Bakery', 'Coffee Shop', 'Andhra Restaurant', 'Garden', 'Tea Room', 'Multiplex', 'Gym', 'Indian Restaurant', 'Clothing Store', 'Bar', 'Bakery', 'Chinese Restaurant', 'Café', 'Ice Cream Shop', 'Dim Sum Restaurant', 'Vegetarian / Vegan Restaurant', 'Asian Restaurant', 'Indian Restaurant', 'Café', 'Snack Place', 'Bookstore', 'Chinese Restaurant', 'Snack Place', 'Shopping Mall', 'Department Store', 'Indian Restaurant', 'Café', 'Fast Food Restaurant', 'Department Store', 'Italian Restaurant', 'Shopping Mall', 'Italian Restaurant', 'Burger Joint', 'Indian Restaurant', 'Indian Restaurant', 'Café', 'Ice Cream Shop', 'Coffee Shop', 'Indian Restaurant', 'Pizza Place', 'Snack Place', 'Indian Restaurant']",33.0,6.0,4.0,0.0
